runid,arch,arm,seed,rounds,total_step_set,last_epoch,wall_min,tea_best,pool_r1,pool_r2,n_appended,target_loaded_4040,best_epoch,returncode,failed_checks
SINet_CORACLE_s42,SINet,CORACLE,42,2,0253,039/040,108.3,True,5447,7334,1887,2,32,0,
SINet_CORACLE_s43,SINet,CORACLE,43,2,0253,039/040,110.7,True,5447,7271,1824,2,37,0,
SINet_CORACLE_s45,SINet,CORACLE,45,2,0253,039/040,107.3,True,5447,7420,1973,2,31,0,
SINetv2_CORACLE_s42,SINetv2,CORACLE,42,2,0127,099/100,124.0,True,5447,7415,1968,2,30,0,
SINetv2_CORACLE_s43,SINetv2,CORACLE,43,2,0127,099/100,125.4,True,5447,7532,2085,2,46,0,
SINetv2_CORACLE_s45,SINetv2,CORACLE,45,2,0127,099/100,126.2,True,5447,7393,1946,2,62,0,
