stem,real_fg_lum,real_bg_lum,real_bg_r,real_bg_g,real_bg_b,gen_fg_lum,gen_bg_lum,gen_bg_r,gen_bg_g,gen_bg_b,auth_fg_lum,auth_bg_lum,auth_bg_r,auth_bg_g,auth_bg_b
0004,167.41770969310704,60.17721083367037,58.7977840219682,84.26902526768419,37.46482321135875,167.42514525582942,140.25917292859626,125.42036528513954,153.2477595419035,142.10939395874576,162.43804550922727,126.37604927233895,113.55091853460203,134.62001617812973,130.95721310428507
0005,162.76016357130686,71.62471542616143,101.12449809566846,69.4292944290233,44.320353753792524,162.8878514227296,135.96772319411272,153.26614163062425,133.3884836356594,121.24854431605448,159.49793831998636,115.06905515030232,135.16329481634497,115.38294493576916,94.66092569879285
0006,116.97160539901722,116.18319399916128,117.7485998944848,129.21183190617265,101.58915019682642,116.81891833053432,100.29180363351053,111.14612840387971,102.8416054543241,86.88767704232782,110.93778379050819,145.93775279682916,159.2423197110507,145.50152185382086,133.06941682561583
0007,98.3402051538654,111.69806529020647,129.66162075688646,125.64985252212168,79.78272259161126,98.22121591193394,91.27754170207803,100.2146178073289,92.74389841523771,80.87410888366745,91.10504545075474,96.27172257494708,103.16120581912713,96.14073888916663,89.51322301654751
0008,49.51773049645391,137.5146362810668,157.49213772603417,140.57459499628436,114.47717612088184,49.184283687943264,100.523378746594,100.57092890760465,113.02685162249195,87.97235570968542,35.265191489361705,50.095734456279416,44.84146643547189,55.81962843695814,49.62610849640822
0009,122.01113130395275,150.39354327387514,151.65470019184457,162.77769500795952,136.7482346218213,121.77873693775557,125.20079050845614,141.078115433283,151.1680884934079,83.3561675986775,114.55311979403302,68.1365940106399,79.86903547083554,70.06371688640353,54.4770296746806
0010,100.11574963217538,182.0122869444698,178.57389762907158,185.52383310957887,181.93913009475892,100.1778361804643,110.1517620121392,141.7304909998566,115.59683789314529,73.12795714341576,97.4282152363624,129.7151062507875,146.91594218010715,134.32979236454165,107.89958420771366
0011,41.86499001996008,110.04272493998842,126.87626520983362,113.04171840079464,90.21019120933697,41.696952761144374,88.9745418425627,96.62583560963496,90.8384703253042,79.45931959274894,36.60274118429807,103.30682228292359,104.40720139061337,105.07341445244599,100.43985100571145
0012,110.4528093888227,112.26940050824312,106.88308147263898,137.0713801242573,92.85373992783309,110.38341344507896,73.52923302314224,74.71651428416398,78.52143302856832,67.34975175669443,109.65731344918726,112.73493131483038,108.66724544887273,119.98775061721696,109.54979787840148
0014,86.03202129207993,131.02578332644023,141.3328011234118,137.82542873356482,113.91912012234415,85.89202170794087,68.492012042051,82.1537285152305,69.59323452182862,53.729073089093866,80.41669265797518,84.10165530109937,100.9550442920486,84.47321797843588,66.87670363281363
0015,69.43116772371155,84.2842219290625,112.82028593798599,83.0332378776666,56.999141971534904,69.73511698555669,105.14671571729394,144.1715735169514,104.99720068213263,66.2713729527977,62.726749453712095,33.79952164913071,46.140244752619665,31.647253772643907,23.611066422128555
0016,80.79094992878274,120.30532018666369,146.64029855311858,130.63571013428773,83.6399518725847,80.70877615865015,131.9218643255534,135.6365156567047,138.20565293199962,121.9234243879559,69.44965487016545,63.64405086007362,72.80572634670092,69.8628674558747,48.26355877764522
0020,56.30870390133997,125.45807668589256,129.5185003808902,134.726444662096,112.12928501469148,56.35713269299182,31.677890231073388,35.932832734791596,32.80524540211122,26.295592556317334,51.196240958140635,8.593042405775021,10.412612906736316,8.993731635651322,6.372782674937425
0021,112.52063814742796,167.0724404003889,167.42531733968698,167.19660682742472,166.59539703405497,112.46958046078603,79.78292185296253,83.37281764778376,80.0824775089348,75.893470402169,107.55602203759354,139.50127004340743,135.6731606622027,139.20051965657478,143.63012981144476
0024,100.92580048521536,75.9481924741617,96.9198204026308,97.44086071192028,33.48389630793402,101.15328721385507,131.21541415728373,141.99927606549298,130.68151502549173,120.96545138086657,96.9837140592347,106.3610251117991,118.03171449255272,112.07452674706961,88.97683409577499
0027,217.17509363295878,70.37484211123885,119.17075403414655,26.783018265423426,65.17075403414655,216.4785194976867,181.4667617547296,168.41645378294376,176.92199940392558,199.06183207731937,212.56664463538226,150.0265643405572,141.67983352492868,153.99579554647252,154.40406395027037
0029,73.37393800495404,138.23845701525596,164.73889892966525,143.6163894330148,106.36008268308784,73.3255550153946,98.34577908608492,106.93836646789536,104.19448923712947,83.90448155322994,64.06542120980623,48.868165207447255,58.70353134706335,50.17934870834731,37.72161556693109
0030,108.21727801926842,158.37956032099265,164.92878818531256,168.84901207094208,141.36088070672332,108.20039909504564,113.02907216340354,134.60118686357814,121.50840695034505,82.97762267628745,99.84985637662369,110.89854339469957,126.59556724436352,114.05565670870142,92.04440623103379
0031,55.37541515258078,143.65443185405306,172.27981147068107,144.65353927875563,114.02994481272246,55.073496659242764,105.23694245792015,124.81143802588468,112.63732053249736,78.26206881537841,50.12956667838862,113.58968023308552,123.37105008218224,119.59952758819624,97.79846302887807
0032,71.88403128507295,137.11852617860382,142.46325362647326,146.8225861287398,122.06973878059837,71.7922278338945,71.1387031580538,74.44078649138713,78.09190843155032,60.883414551223936,68.37550855780023,86.74308231338772,85.31631063009972,93.71510936083409,81.19782694922938
0035,54.03611091870426,110.49401522912424,106.61506326250948,121.73361893484827,103.13336349001503,54.051626607559285,114.36914439285286,99.95906230459136,114.49028112236074,128.6580897516065,52.41649927270208,96.5456141984753,93.07669997206072,96.41400689168873,100.1461357316765
0038,73.77365320247777,172.29035423848342,166.27293574588333,173.17906230119394,177.419064668373,73.78513335453678,96.15292963067074,96.04540545338877,98.02007663742214,94.39330680120135,69.6593514774259,50.16593925226731,36.08490775399092,56.93787634448373,57.47503365832729
0040,65.34618809335691,179.0557764064692,184.27308261672295,184.56424543836596,168.33000116431862,65.16816534356697,76.51137982845705,74.9310723374528,99.12014104888475,55.48292609903361,61.03122766093532,70.69392835559398,55.96497064253755,86.80008649224065,69.31672793200379
0041,128.25799489230909,143.1276327025611,187.6285978773331,147.62899614647694,94.12530408387333,128.2253825118087,106.72869618881546,155.52075305160275,123.43092721362295,41.23440830122064,125.654259045811,86.4692830437809,119.59401304600547,86.12417386062732,53.689662224709906
0042,207.74695005438457,86.24151837607316,89.09199062601617,93.00130069632105,76.63126380588228,207.8140733554791,148.96566236465097,144.7566688718702,146.22527836022562,155.91503986185708,201.32269159537879,131.91244220684808,122.71262460334368,128.78654003565703,144.23816198154356
0044,103.2494656316796,133.62575168684896,147.0535036283166,146.12268877356158,107.70106265866865,103.2633592080099,84.84301633304128,93.95488755588507,81.67478825458875,78.89937318865,98.95678179022762,81.00571019897701,84.06435487856935,80.77970614005527,78.17306957830648
