name,shape_mismatch,mean_abs,max_abs,identical
SOD_0209.jpg,0,0.0,0,1
SOD_0210.jpg,0,0.0,0,1
SOD_0211.jpg,0,0.0,0,1
SOD_0212.jpg,0,0.0,0,1
SOD_0213.jpg,0,0.0,0,1
SOD_0216.jpg,0,0.0,0,1
SOD_0217.jpg,0,0.0,0,1
SOD_0221.jpg,0,0.0,0,1
SOD_0222.jpg,0,0.0,0,1
SOD_0223.jpg,0,0.0,0,1
SOD_0224.jpg,0,0.0,0,1
SOD_0225.jpg,0,0.0,0,1
SOD_0226.jpg,0,0.0,0,1
SOD_0227.jpg,0,0.0,0,1
SOD_0228.jpg,0,0.0,0,1
SOD_0229.jpg,0,0.0,0,1
SOD_0233.jpg,0,0.0,0,1
SOD_0234.jpg,0,0.0,0,1
SOD_0235.jpg,0,0.0,0,1
SOD_0237.jpg,0,0.0,0,1
SOD_0239.jpg,0,0.0,0,1
SOD_0240.jpg,0,0.0,0,1
SOD_0243.jpg,0,0.0,0,1
SOD_0244.jpg,0,0.0,0,1
SOD_0247.jpg,0,0.0,0,1
SOD_0248.jpg,0,0.0,0,1
SOD_0250.jpg,0,0.0,0,1
SOD_0251.jpg,0,0.0,0,1
SOD_0253.jpg,0,0.0,0,1
SOD_0254.jpg,0,0.0,0,1
SOD_0255.jpg,0,0.0,0,1
SOD_0258.jpg,0,0.0,0,1
SOD_0259.jpg,0,0.0,0,1
SOD_0260.jpg,0,0.0,0,1
SOD_0261.jpg,0,0.0,0,1
SOD_0264.jpg,0,0.0,0,1
SOD_0265.jpg,0,0.0,0,1
SOD_0267.jpg,0,0.0,0,1
SOD_0269.jpg,0,0.0,0,1
SOD_0270.jpg,0,0.0,0,1
SOD_0271.jpg,0,0.0,0,1
SOD_0274.jpg,0,0.0,0,1
SOD_0275.jpg,0,0.0,0,1
SOD_0276.jpg,0,0.0,0,1
SOD_0277.jpg,0,0.0,0,1
SOD_0279.jpg,0,0.0,0,1
SOD_0280.jpg,0,0.0,0,1
SOD_0282.jpg,0,0.0,0,1
SOD_0283.jpg,0,0.0,0,1
SOD_0284.jpg,0,0.0,0,1
SOD_0286.jpg,0,0.0,0,1
SOD_0290.jpg,0,0.0,0,1
SOD_0291.jpg,0,0.0,0,1
SOD_0293.jpg,0,0.0,0,1
SOD_0297.jpg,0,0.0,0,1
SOD_0298.jpg,0,0.0,0,1
SOD_0299.jpg,0,0.0,0,1
SOD_0300.jpg,0,0.0,0,1
SOD_0302.jpg,0,0.0,0,1
SOD_0304.jpg,0,0.0,0,1
SOD_0305.jpg,0,0.0,0,1
SOD_0307.jpg,0,0.0,0,1
SOD_0310.jpg,0,0.0,0,1
SOD_0311.jpg,0,0.0,0,1
SOD_0312.jpg,0,0.0,0,1
SOD_0313.jpg,0,0.0,0,1
SOD_0315.jpg,0,0.0,0,1
SOD_0316.jpg,0,0.0,0,1
SOD_0317.jpg,0,0.0,0,1
SOD_0320.jpg,0,0.0,0,1
SOD_0324.jpg,0,0.0,0,1
SOD_0325.jpg,0,0.0,0,1
SOD_0326.jpg,0,0.0,0,1
SOD_0327.jpg,0,0.0,0,1
SOD_0328.jpg,0,0.0,0,1
SOD_0329.jpg,0,0.0,0,1
SOD_0330.jpg,0,0.0,0,1
SOD_0331.jpg,0,0.0,0,1
SOD_0332.jpg,0,0.0,0,1
SOD_0333.jpg,0,0.0,0,1
SOD_0335.jpg,0,0.0,0,1
SOD_0336.jpg,0,0.0,0,1
SOD_0337.jpg,0,0.0,0,1
SOD_0338.jpg,0,0.0,0,1
SOD_0339.jpg,0,0.0,0,1
SOD_0340.jpg,0,0.0,0,1
SOD_0343.jpg,0,0.0,0,1
SOD_0345.jpg,0,0.0,0,1
SOD_0346.jpg,0,0.0,0,1
SOD_0348.jpg,0,0.0,0,1
SOD_0349.jpg,0,0.0,0,1
SOD_0350.jpg,0,0.0,0,1
SOD_0352.jpg,0,0.0,0,1
SOD_0353.jpg,0,0.0,0,1
SOD_0354.jpg,0,0.0,0,1
SOD_0357.jpg,0,0.0,0,1
SOD_0358.jpg,0,0.0,0,1
