runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINetv2_C10_s42,SINetv2,C10,42,COD10K,2026,0,done,0.692321,0.477856,0.093395,0.740293,0.751285,0.771908,0.514966,0.529100,0.549984
SINetv2_C10_s43,SINetv2,C10,43,COD10K,2026,0,done,0.696328,0.478677,0.090749,0.743452,0.751750,0.770018,0.517415,0.533992,0.554458
SINetv2_C10_s45,SINetv2,C10,45,COD10K,2026,0,done,0.695360,0.486758,0.089182,0.755022,0.759806,0.773168,0.527322,0.538632,0.553802
SINetv2_C10_s46,SINetv2,C10,46,COD10K,2026,0,done,0.697572,0.481174,0.087529,0.748858,0.754632,0.771522,0.521324,0.536549,0.555831
SINetv2_C10_s47,SINetv2,C10,47,COD10K,2026,0,done,0.685142,0.470009,0.089191,0.746510,0.756704,0.771080,0.514111,0.526052,0.539071
SINetv2_C10_s48,SINetv2,C10,48,COD10K,2026,0,done,0.694264,0.486941,0.084115,0.764002,0.762531,0.772681,0.530842,0.539097,0.552259
SINetv2_C10_s49,SINetv2,C10,49,COD10K,2026,0,done,0.693677,0.482687,0.084610,0.754517,0.755953,0.767655,0.526378,0.536251,0.549999
SINetv2_C10_s50,SINetv2,C10,50,COD10K,2026,0,done,0.706729,0.493106,0.084287,0.751709,0.765075,0.786127,0.530334,0.548271,0.570625
SINetv2_CINV_s42,SINetv2,CINV,42,COD10K,2026,0,done,0.697008,0.469542,0.088438,0.736393,0.750055,0.774657,0.510256,0.529027,0.552751
SINetv2_CINV_s43,SINetv2,CINV,43,COD10K,2026,0,done,0.696331,0.486681,0.087293,0.754167,0.758193,0.772670,0.526842,0.539049,0.556589
SINetv2_CINV_s45,SINetv2,CINV,45,COD10K,2026,0,done,0.697605,0.485232,0.090189,0.746353,0.756550,0.778013,0.523058,0.538314,0.557451
SINetv2_CINV_s46,SINetv2,CINV,46,COD10K,2026,0,done,0.696896,0.478595,0.088261,0.740231,0.754036,0.774018,0.515839,0.533576,0.554349
SINetv2_CINV_s47,SINetv2,CINV,47,COD10K,2026,0,done,0.688884,0.478520,0.091004,0.752942,0.754128,0.766591,0.519907,0.531309,0.545585
SINetv2_CINV_s48,SINetv2,CINV,48,COD10K,2026,0,done,0.710365,0.487878,0.085893,0.744274,0.759734,0.787521,0.524480,0.547904,0.576220
SINetv2_CINV_s49,SINetv2,CINV,49,COD10K,2026,0,done,0.697704,0.489784,0.083912,0.759222,0.762206,0.774968,0.530337,0.542316,0.557374
SINetv2_CINV_s50,SINetv2,CINV,50,COD10K,2026,0,done,0.704411,0.488547,0.085347,0.747831,0.761173,0.782855,0.525363,0.543901,0.566170
