name,mae,contaminated
COD10K-CAM-1-Aquatic-13-Pipefish-582,0.05113479134322351,0
COD10K-CAM-1-Aquatic-13-Pipefish-583,0.08079280223335647,0
COD10K-CAM-1-Aquatic-13-Pipefish-585,0.03174780552683313,0
COD10K-CAM-1-Aquatic-13-Pipefish-588,0.0448174221063751,0
COD10K-CAM-1-Aquatic-13-Pipefish-590,0.06448352610386796,0
COD10K-CAM-1-Aquatic-13-Pipefish-591,0.044189149746832884,0
COD10K-CAM-1-Aquatic-13-Pipefish-597,0.019033838409224364,0
COD10K-CAM-1-Aquatic-13-Pipefish-599,0.0661434662697838,0
COD10K-CAM-1-Aquatic-13-Pipefish-600,0.04203635933221403,0
COD10K-CAM-1-Aquatic-13-Pipefish-602,0.12508349739245067,0
COD10K-CAM-1-Aquatic-13-Pipefish-608,0.08219740014524327,0
COD10K-CAM-1-Aquatic-13-Pipefish-609,0.031793272313880946,0
COD10K-CAM-1-Aquatic-13-Pipefish-614,0.014416533825444241,0
COD10K-CAM-1-Aquatic-13-Pipefish-616,0.07725817427080642,0
COD10K-CAM-1-Aquatic-13-Pipefish-620,0.20044671600228745,0
COD10K-CAM-1-Aquatic-13-Pipefish-621,0.05931330481252966,0
COD10K-CAM-1-Aquatic-13-Pipefish-622,0.0280679540696487,0
COD10K-CAM-1-Aquatic-13-Pipefish-623,0.04188760810000856,0
COD10K-CAM-1-Aquatic-13-Pipefish-625,0.1647357417087929,0
COD10K-CAM-1-Aquatic-13-Pipefish-629,0.03002327237967346,0
COD10K-CAM-1-Aquatic-13-Pipefish-630,0.03888247236945708,0
COD10K-CAM-1-Aquatic-13-Pipefish-631,0.05532729703616473,0
COD10K-CAM-1-Aquatic-13-Pipefish-635,0.0390700645696104,0
COD10K-CAM-1-Aquatic-13-Pipefish-636,0.043157823865433265,0
COD10K-CAM-1-Aquatic-13-Pipefish-637,0.04944430953384938,0
COD10K-CAM-1-Aquatic-13-Pipefish-639,0.12162878985518881,0
COD10K-CAM-1-Aquatic-13-Pipefish-640,0.026378202614379082,0
COD10K-CAM-1-Aquatic-13-Pipefish-642,0.025093857432248155,0
