tag,B,alpha,repr,order,n_draws_paired,d_heldout,jaccard_vs_primary,d_order_spread,ORDER_SENSITIVE
dinoL518,250,0.1,R2_cut,shuffled_6,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_7,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_8,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R2_cut,shuffled_9,5,1.04981,1.0,0.0,0
dinoL518,250,0.1,R3_render,asc_index,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,asc_nc,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,desc_es,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,desc_nc,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_0,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_1,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_2,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_3,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_4,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_5,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_6,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_7,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_8,5,0.953213,1.0,0.0,0
dinoL518,250,0.1,R3_render,shuffled_9,5,0.953213,1.0,0.0,0
dinoL518,250,0.2,R2_cut,asc_index,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,asc_nc,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,desc_es,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,desc_nc,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_0,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_1,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_2,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_3,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_4,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_5,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_6,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_7,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_8,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R2_cut,shuffled_9,5,1.183452,1.0,0.0,0
dinoL518,250,0.2,R3_render,asc_index,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,asc_nc,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,desc_es,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,desc_nc,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_0,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_1,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_2,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_3,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_4,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_5,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_6,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_7,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_8,5,1.074609,1.0,0.0,0
dinoL518,250,0.2,R3_render,shuffled_9,5,1.074609,1.0,0.0,0
dinoL518,250,0.5,R2_cut,asc_index,5,1.042103,0.992032,0.032891,0
dinoL518,250,0.5,R2_cut,asc_nc,5,1.032228,0.945525,0.032891,0
dinoL518,250,0.5,R2_cut,desc_es,5,1.035959,1.0,0.032891,0
dinoL518,250,0.5,R2_cut,desc_nc,5,1.035959,1.0,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_0,5,1.030706,0.976285,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_1,5,1.032748,0.976285,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_2,5,1.046157,0.976285,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_3,5,1.058932,0.960784,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_4,5,1.060265,0.960784,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_5,5,1.032442,0.968504,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_6,5,1.042129,0.953125,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_7,5,1.039572,0.992032,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_8,5,1.040288,0.968504,0.032891,0
dinoL518,250,0.5,R2_cut,shuffled_9,5,1.003067,0.976285,0.032891,0
dinoL518,250,0.5,R3_render,asc_index,5,1.003282,0.992032,0.024014,0
