tag,B,alpha,repr,k,clusters_funded,max_alloc_share,alloc_entropy_norm,tv_from_uniform,n_displaced,degenerate,norm_dmean,d_insample,d_heldout,d_heldout_sd,d_heldout_min,d_heldout_max,ci_lo,ci_hi,band_lo,band_hi,ci_straddles_band,d_order_spread,ORDER_SENSITIVE
dinoL518,500,0.5,R2_cut,75,25,0.51,0.36203,0.85906,34,0,0.133882,1.231694,0.929725,0.130404,0.605231,1.148973,0.604851,1.237093,REOPENS,REOPENS,0,0.068354,1
dinoL518,500,0.5,R3_render,75,25,0.51,0.36203,0.85906,34,0,0.126928,1.122256,0.821518,0.108119,0.539796,1.084875,0.532599,1.120796,REOPENS,REOPENS,0,0.064258,1
dinoL518,500,1.0,R2_cut,75,75,0.194,0.78644,0.49253,141,0,0.108894,1.120547,0.684778,0.083005,0.523548,0.908742,0.470705,0.950434,AMBIGUOUS,REOPENS,1,0.082431,1
dinoL518,500,1.0,R3_render,75,75,0.194,0.78644,0.49253,141,0,0.106223,1.046448,0.637573,0.081597,0.502702,0.868843,0.41732,0.893475,AMBIGUOUS,REOPENS,1,0.065534,1
dinoL518,500,2.0,R2_cut,75,75,0.062,0.95839,0.21106,183,0,0.094615,1.348586,0.628065,0.108931,0.335187,0.790204,0.317301,0.881031,AMBIGUOUS,REOPENS,1,0.075317,1
dinoL518,500,2.0,R3_render,75,75,0.062,0.95839,0.21106,183,0,0.092449,1.197435,0.567921,0.11291,0.263295,0.748491,0.243744,0.833155,AMBIGUOUS,REOPENS,1,0.097709,1
dinoL518,500,5.0,R2_cut,75,75,0.026,0.99466,0.07567,191,0,0.091432,1.385451,0.62969,0.095791,0.427777,0.79801,0.368127,0.885426,AMBIGUOUS,REOPENS,1,0.043122,0
dinoL518,500,5.0,R3_render,75,75,0.026,0.99466,0.07567,191,0,0.089564,1.241234,0.584596,0.104146,0.389684,0.750552,0.311097,0.845937,AMBIGUOUS,REOPENS,1,0.058052,1
dinoL518,500,10.0,R2_cut,75,75,0.018,0.99876,0.03672,199,0,0.091928,1.368473,0.614337,0.08415,0.417048,0.74389,0.359427,0.849591,AMBIGUOUS,REOPENS,1,0.068565,1
dinoL518,500,10.0,R3_render,75,75,0.018,0.99876,0.03672,199,0,0.090169,1.228752,0.547559,0.107493,0.316993,0.766501,0.269617,0.832229,AMBIGUOUS,REOPENS,1,0.053069,1
dinoL518,500,20.0,R2_cut,75,75,0.016,0.9997,0.01815,197,0,0.091838,1.352081,0.618236,0.098769,0.437846,0.788133,0.357043,0.879635,AMBIGUOUS,REOPENS,1,0.055949,1
dinoL518,500,20.0,R3_render,75,75,0.016,0.9997,0.01815,197,0,0.090025,1.219404,0.554052,0.114867,0.220958,0.73366,0.211573,0.815268,AMBIGUOUS,REOPENS,1,0.050191,1
dinoL518,500,40.0,R2_cut,75,75,0.014,0.99993,0.00903,196,0,0.091464,1.336235,0.601045,0.082223,0.437432,0.725372,0.35489,0.835875,AMBIGUOUS,REOPENS,1,0.118698,1
dinoL518,500,40.0,R3_render,75,75,0.014,0.99993,0.00903,196,0,0.089617,1.210087,0.543035,0.10004,0.2991,0.684875,0.252056,0.793322,AMBIGUOUS,REOPENS,1,0.095846,1
dinoL518,1000,0.02,R2_cut,75,1,1.0,0.0,0.98667,0,1,0.101353,0.962775,0.758896,0.077479,0.591456,0.922991,0.560106,0.960468,REOPENS,REOPENS,0,0.0,0
dinoL518,1000,0.02,R3_render,75,1,1.0,0.0,0.98667,0,1,0.096454,0.791869,0.62179,0.065956,0.452288,0.783798,0.437498,0.807988,AMBIGUOUS,REOPENS,1,0.0,0
dinoL518,1000,0.05,R2_cut,75,2,0.998,0.00292,0.98495,0,1,0.101246,0.960512,0.768207,0.072828,0.599808,0.934478,0.567882,0.959135,REOPENS,REOPENS,0,0.0,0
dinoL518,1000,0.05,R3_render,75,2,0.998,0.00292,0.98495,0,1,0.096271,0.791094,0.631288,0.076322,0.515243,0.849147,0.451965,0.856752,AMBIGUOUS,REOPENS,1,0.0,0
dinoL518,1000,0.1,R2_cut,75,2,0.96,0.03894,0.97325,5,1,0.097478,0.941867,0.746395,0.069533,0.578569,0.880602,0.559292,0.92507,REOPENS,REOPENS,0,0.014912,0
dinoL518,1000,0.1,R3_render,75,2,0.96,0.03894,0.97325,5,1,0.091244,0.782637,0.618061,0.063955,0.495572,0.766061,0.445448,0.79486,AMBIGUOUS,REOPENS,1,0.000267,0
dinoL518,1000,0.2,R2_cut,75,4,0.822,0.11979,0.9626,21,0,0.093098,1.005741,0.777164,0.077255,0.613208,0.920074,0.57483,0.964869,REOPENS,REOPENS,0,0.025957,0
dinoL518,1000,0.2,R3_render,75,4,0.822,0.11979,0.9626,21,0,0.084618,0.892248,0.654712,0.071951,0.488063,0.785499,0.461485,0.8325,AMBIGUOUS,REOPENS,1,0.022121,0
dinoL518,1000,0.5,R2_cut,75,40,0.509,0.36203,0.85906,115,0,0.091222,1.070098,0.797255,0.065208,0.658463,0.904541,0.615607,0.967508,REOPENS,REOPENS,0,0.059129,1
dinoL518,1000,0.5,R3_render,75,40,0.509,0.36203,0.85906,115,0,0.085762,0.897195,0.65352,0.068687,0.531972,0.757894,0.468597,0.831168,AMBIGUOUS,REOPENS,1,0.03821,0
dinoL518,1000,1.0,R2_cut,75,75,0.194,0.78644,0.49253,370,0,0.079572,0.963639,0.641814,0.056256,0.558,0.754653,0.487953,0.819352,AMBIGUOUS,REOPENS,1,0.056141,1
dinoL518,1000,1.0,R3_render,75,75,0.194,0.78644,0.49253,370,0,0.076704,0.836782,0.538181,0.05051,0.434363,0.634121,0.37619,0.696799,AMBIGUOUS,REOPENS,1,0.038414,0
dinoL518,1000,2.0,R2_cut,75,75,0.063,0.95839,0.21106,473,0,0.07225,1.00275,0.549901,0.076223,0.403767,0.708922,0.36758,0.752016,AMBIGUOUS,REOPENS,1,0.057061,1
