tag,B,alpha,repr,draw,norm_dmean,d_insample,d_heldout
dinoL518,250,0.1,R2_cut,0,0.232475,1.32064,0.926663
dinoL518,250,0.1,R2_cut,1,0.230879,1.330522,0.915053
dinoL518,250,0.1,R2_cut,2,0.228281,1.313823,1.047756
dinoL518,250,0.1,R2_cut,3,0.227666,1.251849,1.126406
dinoL518,250,0.1,R2_cut,4,0.234451,1.356669,1.233172
dinoL518,250,0.1,R2_cut,5,0.229998,1.28104,1.327257
dinoL518,250,0.1,R2_cut,6,0.224867,1.27209,0.978553
dinoL518,250,0.1,R2_cut,7,0.233238,1.317853,1.284679
dinoL518,250,0.1,R2_cut,8,0.233244,1.35143,1.177882
dinoL518,250,0.1,R2_cut,9,0.233288,1.340739,1.231704
dinoL518,250,0.1,R2_cut,10,0.232181,1.311571,1.133494
dinoL518,250,0.1,R2_cut,11,0.220508,1.213312,1.027214
dinoL518,250,0.1,R2_cut,12,0.230139,1.303206,1.110512
dinoL518,250,0.1,R2_cut,13,0.228599,1.316389,1.293329
dinoL518,250,0.1,R2_cut,14,0.233577,1.35323,1.078656
dinoL518,250,0.1,R2_cut,15,0.233167,1.332275,1.028975
dinoL518,250,0.1,R2_cut,16,0.234266,1.341804,1.161653
dinoL518,250,0.1,R2_cut,17,0.223139,1.227938,0.971532
dinoL518,250,0.1,R2_cut,18,0.22471,1.284205,0.966877
dinoL518,250,0.1,R2_cut,19,0.236163,1.350885,1.406002
dinoL518,250,0.1,R3_render,0,0.223023,1.234676,0.870676
dinoL518,250,0.1,R3_render,1,0.218061,1.242661,0.833443
dinoL518,250,0.1,R3_render,2,0.21798,1.211326,0.916147
dinoL518,250,0.1,R3_render,3,0.216168,1.139526,1.014635
dinoL518,250,0.1,R3_render,4,0.223875,1.260624,1.131166
dinoL518,250,0.1,R3_render,5,0.217881,1.17331,1.168304
dinoL518,250,0.1,R3_render,6,0.213383,1.173023,0.922273
dinoL518,250,0.1,R3_render,7,0.224846,1.212003,1.185948
dinoL518,250,0.1,R3_render,8,0.223261,1.253304,1.023554
dinoL518,250,0.1,R3_render,9,0.219756,1.221497,1.151526
dinoL518,250,0.1,R3_render,10,0.222699,1.242127,1.077862
dinoL518,250,0.1,R3_render,11,0.210289,1.114476,0.960549
dinoL518,250,0.1,R3_render,12,0.217309,1.204965,1.049481
dinoL518,250,0.1,R3_render,13,0.216565,1.19193,1.208412
dinoL518,250,0.1,R3_render,14,0.226737,1.25033,1.020777
dinoL518,250,0.1,R3_render,15,0.224294,1.236635,0.96282
dinoL518,250,0.1,R3_render,16,0.220323,1.229568,0.979382
dinoL518,250,0.1,R3_render,17,0.211809,1.133154,0.90207
dinoL518,250,0.1,R3_render,18,0.214008,1.173432,0.86213
dinoL518,250,0.1,R3_render,19,0.225052,1.232055,1.277703
dinoL518,250,0.2,R2_cut,0,0.227119,1.309713,1.021362
dinoL518,250,0.2,R2_cut,1,0.227395,1.347602,1.125477
dinoL518,250,0.2,R2_cut,2,0.224814,1.333449,1.281098
dinoL518,250,0.2,R2_cut,3,0.221269,1.23271,1.08855
dinoL518,250,0.2,R2_cut,4,0.229841,1.359927,1.400774
dinoL518,250,0.2,R2_cut,5,0.224353,1.268927,1.067082
dinoL518,250,0.2,R2_cut,6,0.222494,1.300745,0.837186
dinoL518,250,0.2,R2_cut,7,0.229983,1.338114,1.371572
dinoL518,250,0.2,R2_cut,8,0.22838,1.351418,1.139401
dinoL518,250,0.2,R2_cut,9,0.227837,1.334582,1.225802
dinoL518,250,0.2,R2_cut,10,0.229915,1.341434,1.1766
dinoL518,250,0.2,R2_cut,11,0.217824,1.237993,0.867314
dinoL518,250,0.2,R2_cut,12,0.226056,1.311848,1.070193
dinoL518,250,0.2,R2_cut,13,0.223858,1.314847,1.275595
dinoL518,250,0.2,R2_cut,14,0.228471,1.343861,0.952274
dinoL518,250,0.2,R2_cut,15,0.228789,1.336308,0.994895
dinoL518,250,0.2,R2_cut,16,0.228269,1.325254,1.044126
dinoL518,250,0.2,R2_cut,17,0.21975,1.240747,0.952866
dinoL518,250,0.2,R2_cut,18,0.221168,1.301243,1.144147
dinoL518,250,0.2,R2_cut,19,0.231018,1.34392,1.232858
dinoL518,250,0.2,R3_render,0,0.2165,1.220816,0.953217
dinoL518,250,0.2,R3_render,1,0.214552,1.261888,1.054312
dinoL518,250,0.2,R3_render,2,0.211164,1.199028,1.116106
dinoL518,250,0.2,R3_render,3,0.208322,1.115125,0.926369
dinoL518,250,0.2,R3_render,4,0.217725,1.253997,1.323044
dinoL518,250,0.2,R3_render,5,0.210622,1.151403,0.993663
dinoL518,250,0.2,R3_render,6,0.207119,1.16042,0.764951
dinoL518,250,0.2,R3_render,7,0.217649,1.195614,1.187676
dinoL518,250,0.2,R3_render,8,0.215992,1.230315,0.984558
dinoL518,250,0.2,R3_render,9,0.213003,1.207336,1.123245
dinoL518,250,0.2,R3_render,10,0.218696,1.255841,1.129998
dinoL518,250,0.2,R3_render,11,0.205092,1.114994,0.771503
dinoL518,250,0.2,R3_render,12,0.210842,1.192537,0.935326
dinoL518,250,0.2,R3_render,13,0.210823,1.188614,1.188689
dinoL518,250,0.2,R3_render,14,0.218537,1.215548,0.812312
dinoL518,250,0.2,R3_render,15,0.217482,1.221971,0.872582
dinoL518,250,0.2,R3_render,16,0.212742,1.20203,0.926133
dinoL518,250,0.2,R3_render,17,0.206697,1.134461,0.862048
dinoL518,250,0.2,R3_render,18,0.208342,1.173678,0.948491
dinoL518,250,0.2,R3_render,19,0.217014,1.203529,1.111032
dinoL518,250,0.5,R2_cut,0,0.203073,1.314731,0.887882
dinoL518,250,0.5,R2_cut,1,0.202831,1.340532,1.082964
dinoL518,250,0.5,R2_cut,2,0.201268,1.347739,1.081495
dinoL518,250,0.5,R2_cut,3,0.193095,1.174987,1.078037
dinoL518,250,0.5,R2_cut,4,0.202557,1.319058,1.049415
dinoL518,250,0.5,R2_cut,5,0.19808,1.23685,1.285266
dinoL518,250,0.5,R2_cut,6,0.199207,1.310515,1.042167
dinoL518,250,0.5,R2_cut,7,0.205879,1.342418,1.187736
dinoL518,250,0.5,R2_cut,8,0.201508,1.319824,1.11923
dinoL518,250,0.5,R2_cut,9,0.202345,1.31773,1.122029
dinoL518,250,0.5,R2_cut,10,0.206966,1.35865,1.019208
dinoL518,250,0.5,R2_cut,11,0.19542,1.254072,0.975304
dinoL518,250,0.5,R2_cut,12,0.200258,1.281555,0.84686
dinoL518,250,0.5,R2_cut,13,0.198803,1.300929,1.211834
dinoL518,250,0.5,R2_cut,14,0.20304,1.319226,1.044353
dinoL518,250,0.5,R2_cut,15,0.203832,1.319272,1.086596
dinoL518,250,0.5,R2_cut,16,0.201719,1.298569,0.974398
dinoL518,250,0.5,R2_cut,17,0.197995,1.260919,0.839512
dinoL518,250,0.5,R2_cut,18,0.197111,1.30089,0.782043
dinoL518,250,0.5,R2_cut,19,0.204351,1.311683,1.230492
dinoL518,250,0.5,R3_render,0,0.196955,1.329692,0.882588
dinoL518,250,0.5,R3_render,1,0.196661,1.357921,1.056095
dinoL518,250,0.5,R3_render,2,0.188786,1.271144,0.981381
dinoL518,250,0.5,R3_render,3,0.183665,1.144086,1.057329
dinoL518,250,0.5,R3_render,4,0.194398,1.3151,1.005707
dinoL518,250,0.5,R3_render,5,0.190173,1.229998,1.265585
dinoL518,250,0.5,R3_render,6,0.186945,1.238114,0.985206
dinoL518,250,0.5,R3_render,7,0.192935,1.241105,1.053873
dinoL518,250,0.5,R3_render,8,0.19257,1.288591,1.113179
dinoL518,250,0.5,R3_render,9,0.192509,1.287076,1.069792
dinoL518,250,0.5,R3_render,10,0.199668,1.351933,1.102047
dinoL518,250,0.5,R3_render,11,0.186688,1.210403,0.923999
dinoL518,250,0.5,R3_render,12,0.188799,1.252606,0.784878
dinoL518,250,0.5,R3_render,13,0.190244,1.268903,1.154723
dinoL518,250,0.5,R3_render,14,0.193379,1.245019,1.000117
dinoL518,250,0.5,R3_render,15,0.194581,1.282047,1.045918
dinoL518,250,0.5,R3_render,16,0.190933,1.267259,0.872694
dinoL518,250,0.5,R3_render,17,0.188467,1.236034,0.800236
dinoL518,250,0.5,R3_render,18,0.188374,1.268821,0.74326
dinoL518,250,0.5,R3_render,19,0.191721,1.237184,1.157293
dinoL518,250,1.0,R2_cut,0,0.153159,1.315102,0.721391
dinoL518,250,1.0,R2_cut,1,0.148236,1.282888,0.761149
dinoL518,250,1.0,R2_cut,2,0.149204,1.345968,0.967583
dinoL518,250,1.0,R2_cut,3,0.14431,1.184289,0.869737
dinoL518,250,1.0,R2_cut,4,0.150038,1.292931,0.920353
dinoL518,250,1.0,R2_cut,5,0.149028,1.243541,0.956176
dinoL518,250,1.0,R2_cut,6,0.144986,1.249888,0.606293
dinoL518,250,1.0,R2_cut,7,0.151265,1.283306,0.97869
dinoL518,250,1.0,R2_cut,8,0.147891,1.280925,0.801593
dinoL518,250,1.0,R2_cut,9,0.152262,1.328469,0.915868
dinoL518,250,1.0,R2_cut,10,0.153977,1.322294,0.779888
dinoL518,250,1.0,R2_cut,11,0.145373,1.242571,0.782699
dinoL518,250,1.0,R2_cut,12,0.151622,1.306902,0.795588
dinoL518,250,1.0,R2_cut,13,0.146655,1.27766,0.753376
dinoL518,250,1.0,R2_cut,14,0.150641,1.277928,0.77159
dinoL518,250,1.0,R2_cut,15,0.150089,1.25779,0.917898
dinoL518,250,1.0,R2_cut,16,0.149765,1.293935,0.751204
dinoL518,250,1.0,R2_cut,17,0.147577,1.254,0.719877
dinoL518,250,1.0,R2_cut,18,0.147357,1.319852,0.756128
dinoL518,250,1.0,R2_cut,19,0.152835,1.30222,1.051908
dinoL518,250,1.0,R3_render,0,0.150361,1.322877,0.742716
dinoL518,250,1.0,R3_render,1,0.145854,1.288053,0.686988
dinoL518,250,1.0,R3_render,2,0.139299,1.233302,0.719564
dinoL518,250,1.0,R3_render,3,0.138976,1.151753,0.875927
dinoL518,250,1.0,R3_render,4,0.145415,1.279017,0.825932
dinoL518,250,1.0,R3_render,5,0.1443,1.22807,0.863021
dinoL518,250,1.0,R3_render,6,0.138931,1.210496,0.568034
dinoL518,250,1.0,R3_render,7,0.143351,1.181537,0.895999
dinoL518,250,1.0,R3_render,8,0.144263,1.270567,0.867434
dinoL518,250,1.0,R3_render,9,0.147126,1.298512,0.942796
dinoL518,250,1.0,R3_render,10,0.150756,1.341305,0.882131
dinoL518,250,1.0,R3_render,11,0.140778,1.210648,0.631842
dinoL518,250,1.0,R3_render,12,0.14376,1.282849,0.728289
dinoL518,250,1.0,R3_render,13,0.141727,1.236984,0.689841
dinoL518,250,1.0,R3_render,14,0.146967,1.229537,0.76458
dinoL518,250,1.0,R3_render,15,0.144857,1.212617,0.742773
dinoL518,250,1.0,R3_render,16,0.143456,1.266304,0.698239
dinoL518,250,1.0,R3_render,17,0.141432,1.213906,0.6641
dinoL518,250,1.0,R3_render,18,0.143724,1.291027,0.721679
dinoL518,250,1.0,R3_render,19,0.143118,1.195628,0.907389
dinoL518,250,2.0,R2_cut,0,0.124006,1.905495,0.742658
dinoL518,250,2.0,R2_cut,1,0.117246,1.858585,0.434991
dinoL518,250,2.0,R2_cut,2,0.121843,2.020106,0.857422
dinoL518,250,2.0,R2_cut,3,0.117006,1.894967,0.781101
dinoL518,250,2.0,R2_cut,4,0.119357,1.913489,0.63316
dinoL518,250,2.0,R2_cut,5,0.117476,1.832449,0.667144
dinoL518,250,2.0,R2_cut,6,0.116648,1.928775,0.545452
dinoL518,250,2.0,R2_cut,7,0.119392,1.82982,0.667922
dinoL518,250,2.0,R2_cut,8,0.119271,1.950122,0.853605
dinoL518,250,2.0,R2_cut,9,0.124654,1.961773,0.752426
dinoL518,250,2.0,R2_cut,10,0.123503,1.911577,0.735703
dinoL518,250,2.0,R2_cut,11,0.116139,1.861345,0.826228
dinoL518,250,2.0,R2_cut,12,0.1241,1.893825,0.992696
dinoL518,250,2.0,R2_cut,13,0.118595,1.864317,0.554965
dinoL518,250,2.0,R2_cut,14,0.119273,1.796511,0.725873
dinoL518,250,2.0,R2_cut,15,0.119252,1.947223,0.825841
dinoL518,250,2.0,R2_cut,16,0.122075,2.015365,0.765609
dinoL518,250,2.0,R2_cut,17,0.115398,1.768977,0.673131
dinoL518,250,2.0,R2_cut,18,0.119555,1.859749,0.700249
dinoL518,250,2.0,R2_cut,19,0.123897,2.013712,0.901059
