tag,repr,B,trace_cov_A,trace_cov_R,trace_ratio,logdet_top_A,logdet_top_R,logdet_ratio,eff_rank_A,eff_rank_R,eff_rank_ratio,spread_A,spread_R,spread_ratio
dinoL518,R2_cut,250,0.9296320454739408,0.9723235374283146,0.9560933266438372,-236.09736178507308,-235.04498260399004,-1.0523791810830403,35.507987260156085,127.35339611538869,0.2788146083515828,0.960723459569108,0.9839993770258043,0.9763455973650622
dinoL518,R2_cut,500,0.9555352031029016,0.9758365152718977,0.9791959904643048,-242.36690157245388,-242.97403919823995,0.6071376257860663,75.92936105781092,168.45252318642903,0.4507463564305221,0.9762215638859773,0.9867906146502287,0.9892894697138991
dinoL518,R2_cut,1000,0.9646834662043605,0.9757196557762794,0.9886891798206745,-247.2826412437543,-249.65908037990297,2.3764391361486616,129.7962057923058,226.11310843043645,0.5740322031450801,0.9815619614310106,0.9872279209778596,0.9942607381472388
dinoL518,R2_cut,2000,0.9690705553300671,0.9751930744048526,0.9937217365099501,-250.62079194406874,-252.43543710668803,1.8146451626192857,196.47147685591327,246.8427876577006,0.7959376845490914,0.9840721158825183,0.987205137521669,0.9968263722299744
dinoL518,R2_cut,3000,0.9709737904440572,0.9746660113903282,0.9962118090678015,-252.99966565847038,-253.79970065569415,0.8000349972237757,232.49029005308842,254.3340028039826,0.9141140684687398,0.985127047458215,0.9870157195440524,0.9980864822632106
dinoL518,R3_render,250,0.9111466469722135,0.9441956535667457,0.9649977136945208,-238.33922166259606,-236.58464294395867,-1.75457871863739,43.82180259357076,121.58029394028186,0.3604350768809234,0.9516780793552662,0.9693084050471575,0.9818114383408925
dinoL518,R3_render,500,0.9243188950617146,0.952796008001976,0.97011205682948,-245.5064983921488,-244.20166680821106,-1.3048315839377551,79.89156477354761,153.97946166175495,0.5188455909077313,0.9597271091000497,0.9747046179635156,0.9846337971653824
dinoL518,R3_render,1000,0.9332771756526349,0.9504347779569049,0.9819476278623214,-251.1412977853355,-251.2632735098701,0.12197572453459316,129.88914189262687,202.91386379949307,0.6401196027737921,0.9649249259087723,0.9739985602874269,0.9906841398451586
dinoL518,R3_render,2000,0.9381127400799015,0.9493421912739216,0.9881713345332822,-254.50903157178666,-254.0741727316439,-0.4348588401427662,183.84670979116504,221.01695722617606,0.8318217393746258,0.9677119738311977,0.973674510672229,0.9938762525097686
dinoL518,R3_render,3000,0.9418258513512046,0.9485545985443823,0.992906315352323,-255.9567133905281,-255.82372305637034,-0.13299033415776762,214.69839374934975,224.8835439975793,0.9547092238623774,0.9697835105635935,0.9733304610567192,0.9963558620272966
dinoL224,R2_cut,250,0.9176950084197709,0.9259754845613557,0.9910575643959869,-231.91491933668203,-235.15832925353098,3.2434099168489468,86.43610976467662,113.54889695891906,0.7612236849464808,0.9556505953650789,0.9599759349874383,0.9954943249463686
dinoL224,R2_cut,500,0.9176294142893814,0.9352885598150873,0.9811190403855712,-240.43401272929816,-241.72979078414846,1.2957780548503024,100.54683256821608,141.4931140890505,0.7106129030769345,0.9565757611051385,0.9658474651787854,0.9904004468532404
dinoL224,R2_cut,1000,0.9187952171579696,0.9326756500892815,0.9851176205468823,-244.69095513322478,-247.5632065718461,2.8722514386213334,109.77483414307292,183.1083530507494,0.5995075173476563,0.9576964257520587,0.9649631473081326,0.9924694310074481
dinoL224,R2_cut,2000,0.9208437212484153,0.9315034656223908,0.9885564093238739,-247.70706796692915,-250.02529034285047,2.318222375921323,131.4840097065838,195.28685624662685,0.6732865295375192,0.959009330663215,0.9645863369546352,0.9942182404231147
dinoL224,R2_cut,3000,0.9244343814823317,0.9314714770769499,0.9924451840257081,-248.56611886138165,-251.45185721255086,2.885738351169209,162.2760867226212,200.7043649843494,0.8085329222175871,0.9609671880510805,0.9646429668266707,0.996189493002077
dinoL224,R3_render,250,0.859218304193108,0.8837054525241553,0.9722903731541952,-240.27987443661445,-238.6430575983845,-1.6368168382299473,30.254439854105794,113.7491295823268,0.2659751328664798,0.9225050114757986,0.9373129146906642,0.9842017505757374
dinoL224,R3_render,500,0.8838869322348892,0.8964017123531497,0.9860388708033502,-245.62096126895895,-245.57357974350325,-0.04738152545570529,57.74154200003261,141.0776975114044,0.40928894515991737,0.9385368704844798,0.9449927490852956,0.9931683300141034
dinoL224,R3_render,1000,0.8886773153133979,0.8936129611250035,0.9944767522111676,-248.21559616190487,-251.78420368434513,3.56860752244026,93.40832150736274,173.67103005170063,0.5378463033216061,0.941612339027529,0.9439754987942107,0.9974965878143021
dinoL224,R3_render,2000,0.8908358095294246,0.891403592233201,0.9993630464261941,-251.04936012443383,-254.58938650255604,3.5400263781222066,133.494779094594,185.66107227387312,0.7190240660555522,0.9428672831395977,0.9430204444371038,0.9998375843297889
dinoL224,R3_render,3000,0.8905646321504163,0.8915539459009252,0.9988903489743302,-253.7435330779299,-256.14521242083447,2.401679342904572,165.1822461245442,190.24179409069976,0.8682752752310139,0.9427174594660905,0.9431664199958241,0.999523985883917
