tag,B,alpha,repr,d_heldout,ci_draws_lo,ci_draws_hi,ci_boot_lo,ci_boot_hi,ci_combined_lo,ci_combined_hi,band_lo,band_hi,ci_straddles_band
dinoL224,1000,5.0,R2_cut,0.783366,0.656022,0.917096,0.592466,0.985073,0.592466,0.985073,REOPENS,REOPENS,0
dinoL224,1000,5.0,R3_render,0.679123,0.575856,0.77227,0.504169,0.852892,0.504169,0.852892,REOPENS,REOPENS,0
dinoL224,1000,10.0,R2_cut,0.788049,0.670177,0.915226,0.597805,0.98864,0.597805,0.98864,REOPENS,REOPENS,0
dinoL224,1000,10.0,R3_render,0.676523,0.592421,0.778883,0.506978,0.859217,0.506978,0.859217,REOPENS,REOPENS,0
dinoL224,1000,20.0,R2_cut,0.793625,0.699445,0.92819,0.624489,0.991063,0.624489,0.991063,REOPENS,REOPENS,0
dinoL224,1000,20.0,R3_render,0.674011,0.568252,0.816276,0.497224,0.882305,0.497224,0.882305,AMBIGUOUS,REOPENS,1
dinoL224,1000,40.0,R2_cut,0.790833,0.667453,0.899507,0.603983,0.982382,0.603983,0.982382,REOPENS,REOPENS,0
dinoL224,1000,40.0,R3_render,0.670535,0.541784,0.790674,0.478898,0.866748,0.478898,0.866748,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.02,R2_cut,0.581288,0.497172,0.673733,0.449411,0.721799,0.449411,0.721799,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.02,R3_render,0.439291,0.368602,0.53393,0.320785,0.582337,0.320785,0.582337,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.05,R2_cut,0.581288,0.497172,0.673733,0.449411,0.721799,0.449411,0.721799,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.05,R3_render,0.439291,0.368602,0.53393,0.320785,0.582337,0.320785,0.582337,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.1,R2_cut,0.581288,0.497172,0.673733,0.449411,0.721799,0.449411,0.721799,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.1,R3_render,0.439291,0.368602,0.53393,0.320785,0.582337,0.320785,0.582337,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.2,R2_cut,0.583079,0.524043,0.670957,0.466486,0.715311,0.466486,0.715311,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.2,R3_render,0.455207,0.398496,0.527559,0.343116,0.576322,0.343116,0.576322,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.5,R2_cut,0.551128,0.490746,0.619884,0.432088,0.673534,0.432088,0.673534,AMBIGUOUS,REOPENS,1
dinoL224,2000,0.5,R3_render,0.453851,0.364192,0.538245,0.318493,0.589655,0.318493,0.589655,AMBIGUOUS,REOPENS,1
dinoL224,2000,1.0,R2_cut,0.498678,0.446034,0.562037,0.39034,0.614235,0.39034,0.614235,AMBIGUOUS,REOPENS,1
dinoL224,2000,1.0,R3_render,0.410719,0.338108,0.491649,0.29062,0.536868,0.29062,0.536868,AMBIGUOUS,REOPENS,1
dinoL224,2000,2.0,R2_cut,0.521879,0.482071,0.579616,0.417837,0.631724,0.417837,0.631724,AMBIGUOUS,REOPENS,1
dinoL224,2000,2.0,R3_render,0.432298,0.364089,0.482546,0.316969,0.542078,0.316969,0.542078,AMBIGUOUS,REOPENS,1
dinoL224,2000,5.0,R2_cut,0.55627,0.509386,0.615946,0.451486,0.665419,0.451486,0.665419,AMBIGUOUS,REOPENS,1
dinoL224,2000,5.0,R3_render,0.461526,0.408487,0.509507,0.352735,0.567362,0.352735,0.567362,AMBIGUOUS,REOPENS,1
dinoL224,2000,10.0,R2_cut,0.545353,0.471717,0.619205,0.425588,0.668866,0.425588,0.668866,AMBIGUOUS,REOPENS,1
dinoL224,2000,10.0,R3_render,0.431173,0.378613,0.501255,0.32224,0.548357,0.32224,0.548357,AMBIGUOUS,REOPENS,1
dinoL224,2000,20.0,R2_cut,0.546011,0.460201,0.598101,0.419605,0.659477,0.419605,0.659477,AMBIGUOUS,REOPENS,1
dinoL224,2000,20.0,R3_render,0.436908,0.34243,0.504147,0.301894,0.557732,0.301894,0.557732,AMBIGUOUS,REOPENS,1
dinoL224,2000,40.0,R2_cut,0.550486,0.492637,0.630713,0.439275,0.674273,0.439275,0.674273,AMBIGUOUS,REOPENS,1
dinoL224,2000,40.0,R3_render,0.440009,0.358988,0.522557,0.312264,0.570377,0.312264,0.570377,AMBIGUOUS,REOPENS,1
dinoL224,3000,0.02,R2_cut,0.268107,0.199866,0.322107,0.163534,0.362365,0.163534,0.362365,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.02,R3_render,0.189117,0.138727,0.237095,0.098045,0.278074,0.098045,0.278074,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.05,R2_cut,0.268107,0.199866,0.322107,0.163534,0.362365,0.163534,0.362365,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.05,R3_render,0.189117,0.138727,0.237095,0.098045,0.278074,0.098045,0.278074,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.1,R2_cut,0.268107,0.199866,0.322107,0.163534,0.362365,0.163534,0.362365,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.1,R3_render,0.189117,0.138727,0.237095,0.098045,0.278074,0.098045,0.278074,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.2,R2_cut,0.266002,0.228276,0.305161,0.179046,0.353162,0.179046,0.353162,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.2,R3_render,0.18311,0.148641,0.213237,0.101185,0.265127,0.101185,0.265127,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.5,R2_cut,0.251993,0.215269,0.303824,0.166295,0.343117,0.166295,0.343117,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,0.5,R3_render,0.184554,0.141251,0.220991,0.096514,0.270551,0.096514,0.270551,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,1.0,R2_cut,0.252588,0.205895,0.29689,0.162211,0.341808,0.162211,0.341808,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,1.0,R3_render,0.195867,0.150781,0.236535,0.108833,0.282439,0.108833,0.282439,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,2.0,R2_cut,0.277006,0.239112,0.327574,0.189739,0.368294,0.189739,0.368294,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,2.0,R3_render,0.217234,0.159699,0.258031,0.123339,0.305199,0.123339,0.305199,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,5.0,R2_cut,0.269973,0.220134,0.300849,0.181609,0.354642,0.181609,0.354642,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,5.0,R3_render,0.203822,0.163919,0.236899,0.119456,0.287858,0.119456,0.287858,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,10.0,R2_cut,0.271889,0.239417,0.313155,0.188987,0.356712,0.188987,0.356712,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,10.0,R3_render,0.204188,0.147821,0.24989,0.111323,0.292842,0.111323,0.292842,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,20.0,R2_cut,0.272857,0.21826,0.316427,0.1802,0.36275,0.1802,0.36275,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,20.0,R3_render,0.212049,0.163936,0.252004,0.121406,0.300942,0.121406,0.300942,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,40.0,R2_cut,0.274434,0.236295,0.311738,0.19142,0.357502,0.19142,0.357502,CONFIRMED,AMBIGUOUS,1
dinoL224,3000,40.0,R3_render,0.208785,0.167749,0.243897,0.120834,0.294316,0.120834,0.294316,CONFIRMED,AMBIGUOUS,1
dinoL224,4447,0.02,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.02,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.05,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.05,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.1,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.1,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.2,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.2,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.5,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,0.5,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,1.0,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,1.0,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,2.0,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,2.0,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,5.0,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,5.0,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,10.0,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,10.0,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,20.0,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,20.0,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,40.0,R2_cut,-0.306792,-0.345868,-0.264436,-0.378843,-0.233205,-0.378843,-0.233205,AMBIGUOUS,AMBIGUOUS,0
dinoL224,4447,40.0,R3_render,-0.309901,-0.37145,-0.238975,-0.400503,-0.214019,-0.400503,-0.214019,AMBIGUOUS,AMBIGUOUS,0
