tag,repr,B,alpha,arm,d_heldout,d_insample,d_heldout_sd,incremental_vs_random_null
dinoL518,R2_cut,250,0.2,TARGETED_by_target_es,1.113458555564808,1.3137321499633103,0.15113916544607764,1.1507912649525713
dinoL518,R2_cut,250,0.2,random_vs_random,-0.03733270938776331,1.4505639951105374,0.11909633316391807,0.0
dinoL518,R2_cut,250,0.2,shuffled_es,1.1304073482660262,1.589726533598443,0.30437752147234415,1.1677400576537895
dinoL518,R2_cut,250,0.2,random_centroid,1.226205412540445,1.7964773703733012,0.37557637148479894,1.2635381219282082
dinoL518,R2_cut,250,0.2,random_direction,1.1244781475534438,1.6597758028696012,0.19079807355744527,1.1618108569412071
dinoL518,R2_cut,500,0.2,TARGETED_by_target_es,0.858215198335493,1.144853112361931,0.08056583877774726,0.9707110984426318
dinoL518,R2_cut,500,0.2,random_vs_random,-0.1124959001071388,1.0034227448675832,0.0847602371488369,0.0
dinoL518,R2_cut,500,0.2,shuffled_es,0.9649321685600738,1.3284459196156382,0.27955945211264716,1.0774280686672126
dinoL518,R2_cut,500,0.2,random_centroid,1.0102109931796424,1.4193355487075818,0.20236845261332062,1.1227068932867812
dinoL518,R2_cut,500,0.2,random_direction,0.9265412394628457,1.3489009434367447,0.1647520155810162,1.0390371395699844
dinoL518,R2_cut,1000,0.2,TARGETED_by_target_es,0.7771639190504959,1.0057408353746382,0.07725514820243932,0.9032473400706234
dinoL518,R2_cut,1000,0.2,random_vs_random,-0.12608342102012748,0.6472643220799907,0.05125444741492459,0.0
dinoL518,R2_cut,1000,0.2,shuffled_es,0.7464695394139664,1.0054515446384402,0.15628902763540767,0.8725529604340939
dinoL518,R2_cut,1000,0.2,random_centroid,0.7586654762820997,1.0705176412505535,0.14737050720731518,0.8847488973022272
dinoL518,R2_cut,1000,0.2,random_direction,0.7473870844164248,1.038501879913711,0.10554646014483879,0.8734705054365522
dinoL518,R2_cut,2000,0.2,TARGETED_by_target_es,0.4760557233917063,0.7439068969599287,0.049809955065278105,0.6545355402848285
dinoL518,R2_cut,2000,0.2,random_vs_random,-0.17847981689312217,0.379894716721216,0.03607045040988543,0.0
dinoL518,R2_cut,2000,0.2,shuffled_es,0.4489598441227671,0.6680392028891968,0.08179832114684121,0.6274396610158893
dinoL518,R2_cut,2000,0.2,random_centroid,0.48094535624202317,0.7166874353136101,0.07614367280750255,0.6594251731351454
dinoL518,R2_cut,2000,0.2,random_direction,0.4735546665137699,0.7186844414533595,0.05556367388395443,0.6520344834068921
dinoL518,R2_cut,3000,0.2,TARGETED_by_target_es,0.24211669284576226,0.4814574485010693,0.03224150099649973,0.4981265432160701
dinoL518,R2_cut,3000,0.2,random_vs_random,-0.2560098503703078,0.23970914255346082,0.030050979873382535,0.0
dinoL518,R2_cut,3000,0.2,shuffled_es,0.16878226224878876,0.417146569025031,0.047390853650093864,0.42479211261909655
dinoL518,R2_cut,3000,0.2,random_centroid,0.2034695498222962,0.4519620319952681,0.04918554768118811,0.459479400192604
dinoL518,R2_cut,3000,0.2,random_direction,0.19599941554674405,0.4643654411863622,0.03975327515513167,0.4520092659170519
dinoL518,R3_render,250,0.5,TARGETED_by_target_es,1.0027949454108573,1.2661517330911796,0.13173128533817569,1.0136590757630146
dinoL518,R3_render,250,0.5,random_vs_random,-0.010864130352157386,1.425436244658897,0.14098393664497488,0.0
dinoL518,R3_render,250,0.5,shuffled_es,0.9139026042808112,1.5200388590462253,0.27633028062472287,0.9247667346329685
dinoL518,R3_render,250,0.5,random_centroid,1.0533696169962106,1.6041152810404387,0.3588186686659767,1.0642337473483678
dinoL518,R3_render,250,0.5,random_direction,0.9331971883502254,1.494617068136318,0.16696984724215566,0.9440613187023827
dinoL518,R3_render,500,0.5,TARGETED_by_target_es,0.8215180306658219,1.122256172094135,0.10811905337766516,0.9200344035992329
dinoL518,R3_render,500,0.5,random_vs_random,-0.09851637293341103,0.962244190522101,0.07910685770501065,0.0
dinoL518,R3_render,500,0.5,shuffled_es,0.804138781611109,1.1614344749788001,0.20076862804934842,0.90265515454452
dinoL518,R3_render,500,0.5,random_centroid,0.8450967688067997,1.2447386782380685,0.18841683562290293,0.9436131417402107
dinoL518,R3_render,500,0.5,random_direction,0.7654985738567597,1.1655058482415568,0.14098920100699797,0.8640149467901708
dinoL518,R3_render,1000,0.5,TARGETED_by_target_es,0.6535198697825274,0.8971948356910546,0.0686866571518817,0.7848766321605827
dinoL518,R3_render,1000,0.5,random_vs_random,-0.13135676237805533,0.6334214827736838,0.05583676664469344,0.0
dinoL518,R3_render,1000,0.5,shuffled_es,0.5837790038621968,0.8510522102622972,0.1156307717461178,0.7151357662402522
dinoL518,R3_render,1000,0.5,random_centroid,0.625669474607884,0.9220551328591122,0.12374852355476275,0.7570262369859393
dinoL518,R3_render,1000,0.5,random_direction,0.5902232345632952,0.8727501487486216,0.09260369564001178,0.7215799969413506
dinoL518,R3_render,2000,0.5,TARGETED_by_target_es,0.36132629417341544,0.5551291481395261,0.05619337284873739,0.5328164490065438
dinoL518,R3_render,2000,0.5,random_vs_random,-0.17149015483312838,0.3717934368543867,0.0316331995835198,0.0
dinoL518,R3_render,2000,0.5,shuffled_es,0.3179695979289029,0.5541642161319591,0.08158141048139476,0.48945975276203124
dinoL518,R3_render,2000,0.5,random_centroid,0.3918489649392262,0.6055750854013546,0.07427488373684843,0.5633391197723546
dinoL518,R3_render,2000,0.5,random_direction,0.35614619618927895,0.6023512121458384,0.07055741578864173,0.5276363510224074
dinoL518,R3_render,3000,0.5,TARGETED_by_target_es,0.1583772468407289,0.3409195962895911,0.03058513754513383,0.40325629099200605
dinoL518,R3_render,3000,0.5,random_vs_random,-0.24487904415127715,0.2273710934913537,0.029991710809267286,0.0
dinoL518,R3_render,3000,0.5,shuffled_es,0.09295026122641713,0.34021941082929963,0.05257208262435568,0.3378293053776943
dinoL518,R3_render,3000,0.5,random_centroid,0.15078022058185486,0.3767338006030784,0.06971849589031844,0.395659264733132
dinoL518,R3_render,3000,0.5,random_direction,0.13012894767350625,0.386029952798768,0.051681116765253346,0.3750079918247834
dinoL224,R2_cut,250,2.0,TARGETED_by_target_es,1.2325491861665163,1.9760655945127599,0.15078165848895056,1.2655569625386858
dinoL224,R2_cut,250,2.0,random_vs_random,-0.0330077763721694,1.2956197335344455,0.13906735196962436,0.0
dinoL224,R2_cut,250,2.0,shuffled_es,1.1939696411691831,1.8937863345395674,0.1709438356131999,1.2269774175413526
dinoL224,R2_cut,250,2.0,random_centroid,1.4242735243893068,1.7525757469038663,0.31885542539930406,1.4572813007614762
dinoL224,R2_cut,250,2.0,random_direction,1.1432887840651031,1.6794130440442607,0.1816795981052539,1.1762965604372726
dinoL224,R2_cut,500,2.0,TARGETED_by_target_es,0.9777661692441286,1.44921759674594,0.10320850762817846,1.0909241245925025
dinoL224,R2_cut,500,2.0,random_vs_random,-0.11315795534837399,0.8803535160048719,0.0825359030424443,0.0
dinoL224,R2_cut,500,2.0,shuffled_es,0.9745449443908395,1.3934353682260758,0.08686621394006903,1.0877028997392135
dinoL224,R2_cut,500,2.0,random_centroid,1.1770647064828892,1.399844546377049,0.1508293525259922,1.290222661831263
dinoL224,R2_cut,500,2.0,random_direction,0.9731564203531355,1.3343563909469165,0.16533310270760002,1.0863143757015095
dinoL224,R2_cut,1000,2.0,TARGETED_by_target_es,0.7964593682424553,1.0276748982970632,0.07345068202865485,0.9111837781559219
dinoL224,R2_cut,1000,2.0,random_vs_random,-0.11472440991346655,0.5753770417659583,0.044211062739354635,0.0
dinoL224,R2_cut,1000,2.0,shuffled_es,0.7691045354916604,1.042830249477801,0.06415711357043755,0.8838289454051269
dinoL224,R2_cut,1000,2.0,random_centroid,0.9485857182280377,1.091880318212629,0.14762851120927384,1.0633101281415043
dinoL224,R2_cut,1000,2.0,random_direction,0.7876652349603488,1.0190474897453354,0.08786416704112082,0.9023896448738153
dinoL224,R2_cut,2000,2.0,TARGETED_by_target_es,0.5218793061509664,0.680890574801255,0.027992154825783218,0.6894828590462598
dinoL224,R2_cut,2000,2.0,random_vs_random,-0.1676035528952934,0.33602031155058326,0.04428743730918161,0.0
dinoL224,R2_cut,2000,2.0,shuffled_es,0.5324335038893044,0.6806808072871096,0.03254688920367425,0.7000370567845978
dinoL224,R2_cut,2000,2.0,random_centroid,0.5926827575676223,0.7102302783757924,0.10323128892133546,0.7602863104629157
dinoL224,R2_cut,2000,2.0,random_direction,0.4987029279776009,0.6946892162734415,0.05940554655034732,0.6663064808728943
dinoL224,R2_cut,3000,2.0,TARGETED_by_target_es,0.2770060794403732,0.4239921672272538,0.02665848485670732,0.5066661765160746
dinoL224,R2_cut,3000,2.0,random_vs_random,-0.22966009707570137,0.21446951513443713,0.029329597548629283,0.0
dinoL224,R2_cut,3000,2.0,shuffled_es,0.2671344984818481,0.41732022528764795,0.02832997276989814,0.49679459555754946
dinoL224,R2_cut,3000,2.0,random_centroid,0.2850122412261064,0.43768970874719726,0.07174784821137449,0.5146723383018078
dinoL224,R2_cut,3000,2.0,random_direction,0.20421310851319618,0.43589265356637485,0.03728499556562669,0.4338732055888975
dinoL224,R3_render,250,0.5,TARGETED_by_target_es,1.0795401761245516,1.2110963576255904,0.1182857696077663,1.0910640250210248
dinoL224,R3_render,250,0.5,random_vs_random,-0.011523848896473284,1.3236932873629104,0.16073011597040882,0.0
dinoL224,R3_render,250,0.5,shuffled_es,1.1403261059299714,1.4907293899260712,0.13686984987991027,1.1518499548264447
dinoL224,R3_render,250,0.5,random_centroid,1.190831286671887,1.5218831823212802,0.25205333257544393,1.2023551355683604
dinoL224,R3_render,250,0.5,random_direction,0.8866509488129657,1.4607320719981194,0.17958969959546342,0.898174797709439
dinoL224,R3_render,500,0.5,TARGETED_by_target_es,0.8163623518045865,0.9857269976822914,0.08494038586481846,0.9196978072144358
