tag,repr,alpha,norm_dmean,d_heldout,d_heldout_sd,d_insample
dinoL518,R2_cut,0.02,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,0.02,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,0.05,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,0.05,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,0.1,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,0.1,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,0.2,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,0.2,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,0.5,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,0.5,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,1.0,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,1.0,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,2.0,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,2.0,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,5.0,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,5.0,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,10.0,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,10.0,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,20.0,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,20.0,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL518,R2_cut,40.0,3.557238459407959e-16,-0.34728306043403223,0.016539133819292215,1.8430959207176023e-18
dinoL518,R3_render,40.0,5.071491039171936e-16,-0.3324264403242913,0.030311799628546385,1.6258417608387038e-17
dinoL224,R2_cut,0.02,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,0.02,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,0.05,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,0.05,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,0.1,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,0.1,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,0.2,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,0.2,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,0.5,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,0.5,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,1.0,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,1.0,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,2.0,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,2.0,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,5.0,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,5.0,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,10.0,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,10.0,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,20.0,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,20.0,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
dinoL224,R2_cut,40.0,5.775521664026703e-16,-0.3067921527671916,0.021343865205704537,7.934430384094322e-18
dinoL224,R3_render,40.0,7.249831836841481e-16,-0.3099011026660828,0.03548843245435274,-1.554048775913946e-17
