bootstrap_ari_mean,bootstrap_ari_sd,inertia_mean,k,n_seeds,seed_ari_mean,seed_ari_min,silhouette_mean,silhouette_sd
0.6242296704622705,0.11877769923839587,3452.823538432327,5,10,0.7320769544544887,0.5328230596164844,0.05664784774928301,0.0019830921460155452
0.5979971158135249,0.1495235270298621,3159.1852842089547,10,10,0.7701667676201224,0.6196971940118818,0.0922888547372804,0.0013336450000515662
0.5731531913029546,0.15565569993598372,2980.775931832958,15,10,0.5917271790758901,0.44257343709367675,0.11521798382943671,0.0011244865053688798
0.5064356705981566,0.053451764639124745,2839.724355677925,20,10,0.5238691372700773,0.37461968169483006,0.13261803968549418,0.005015870061020873
0.5388693434170869,0.0716337877517261,2628.6928387036983,30,10,0.6165351091761614,0.472139614191951,0.1527104309174692,0.006196090475806621
0.5794513273910182,0.04641242811898046,2374.9803971300216,50,10,0.6004599098792534,0.5096539165755809,0.15560100753693873,0.007040923441638602
0.5789200108097753,0.05834411521329889,2173.299429095567,75,10,0.6155017686496449,0.5463237402925363,0.1600050979353254,0.00825987547054825
0.5829615053543187,0.02171760542933012,2037.9057531305953,100,10,0.60088106434763,0.5359022193733846,0.1557202706312607,0.007284164855472942
0.6179943492060225,0.02838792003228408,1854.5808899091667,150,10,0.625143086656874,0.592821638809816,0.1507287037622326,0.0036448768955837578
