cluster,k,kmeans_seed,n_target,target_es,n_target_scored,centroid_norm,n_test,test_es,test_mae,test_one_minus_sa,test_one_minus_iou,n_val,val_es,val_mae,val_one_minus_sa,val_one_minus_iou
0,5,0,963,0.037341,963,0.7586063035274846,519,0.041304,0.075805,0.356245,0.696177,87,0.088711,0.199385,0.395518,0.666755
1,5,0,986,0.038085,986,0.6763886203295518,384,0.039572,0.058025,0.217973,0.43796,91,0.066669,0.131068,0.26608,0.467464
2,5,0,725,0.040859,725,0.8009674214590364,400,0.050561,0.095115,0.295262,0.550457,25,0.05463,0.100472,0.229627,0.419946
3,5,0,661,0.040223,661,0.7790901102183879,385,0.049347,0.08474,0.299055,0.573056,22,0.066516,0.146919,0.337418,0.560988
4,5,0,698,0.032852,698,0.7561525602778723,338,0.039011,0.054933,0.210319,0.430735,25,0.051086,0.093391,0.250307,0.469365
