runid,arch,arm,seed,n,boundary_iou,boundary_f,boundary_prec,boundary_rec,iou
SINet_B_s42,SINet,B,42,2026,0.31250906409842955,0.3771759114570203,0.5127727051299181,0.3451424926518981,0.42798572280621644
SINet_B_s43,SINet,B,43,2026,0.3169577020621696,0.3786413291903228,0.5200825387665057,0.3426765472435732,0.4348738057806739
SINet_B_s45,SINet,B,45,2026,0.3086133221591558,0.3634859984566739,0.5121594029000694,0.3243519511760139,0.4284132331861851
SINet_C10_s42,SINet,C10,42,2026,0.3258717726525226,0.39201511966630964,0.5345452681656706,0.3552279314848324,0.4412401818170705
SINet_C10_s43,SINet,C10,43,2026,0.33683293163056327,0.4066303258669005,0.551001279738603,0.36904367434985746,0.45277213953504303
SINet_C10_s45,SINet,C10,45,2026,0.3210702785894578,0.3860284342658777,0.5243015638602505,0.3524291094321452,0.4352691288767799
SINet_CINV_s42,SINet,CINV,42,2026,0.33366536067861835,0.40201626112117017,0.5428718618974452,0.3672565461825108,0.45222452967914656
SINet_CINV_s43,SINet,CINV,43,2026,0.3294590001807877,0.3970931498116382,0.5315126511823712,0.36441704054517626,0.4454938155910101
SINet_CINV_s45,SINet,CINV,45,2026,0.32186695734002646,0.3812826093593005,0.5300260952817234,0.3428850778516201,0.4383105278426694
SINet_CSHUF_s42,SINet,CSHUF,42,2026,0.3291555566296081,0.39683071088795635,0.5378398438493815,0.36063444868529215,0.4450545625559553
SINet_CSHUF_s43,SINet,CSHUF,43,2026,0.32662804083010416,0.39290047786016336,0.5318239727980808,0.35942125115567825,0.44363184222009244
SINet_CSHUF_s45,SINet,CSHUF,45,2026,0.3177330500131606,0.38242127602302545,0.5220204692854349,0.34785071344203083,0.435520936052278
