runid,arch,arm,seed,n,boundary_iou,boundary_f,boundary_prec,boundary_rec,iou
SINet_A0_s42,SINet,A0,42,2026,0.32800733559333395,0.3928541895624721,0.5396723470448406,0.356521719943079,0.4474558459567023
SINet_A0_s43,SINet,A0,43,2026,0.2677919472966279,0.30354148030005895,0.4416468781317687,0.2694733417140892,0.3807626619567228
SINet_A0_s45,SINet,A0,45,2026,0.3151908422987834,0.3733199235373671,0.5190659210803942,0.33528878516315747,0.42791673373149147
SINet_A2_s42,SINet,A2,42,2026,0.3064157314113192,0.35769930684103374,0.5065774059281227,0.3186670774853984,0.42067482109252174
SINet_A2_s43,SINet,A2,43,2026,0.3235716627535997,0.3937311588901854,0.5298985835411747,0.3597527959711866,0.4390149193361409
SINet_A2_s45,SINet,A2,45,2026,0.3221566004756066,0.3876689588655044,0.5252684133779053,0.3545211172107316,0.43645948483389385
SINet_B_s42,SINet,B,42,2026,0.32456674326831575,0.3956702803914156,0.5240296527996238,0.36749554683393865,0.4414749402845184
SINet_B_s43,SINet,B,43,2026,0.32714075125146275,0.39608192763480976,0.5307462290119989,0.36365298345478675,0.4464165772457611
SINet_B_s45,SINet,B,45,2026,0.3236622642634235,0.38704721242304746,0.5298038310291843,0.3508922595675041,0.44447490600719397
SINet_C10_s42,SINet,C10,42,2026,0.33682635358417073,0.4088295005875422,0.5452761229651267,0.3748712366021731,0.45317227832037305
SINet_C10_s43,SINet,C10,43,2026,0.34717341734395724,0.42237899706322724,0.5589689324662556,0.38825600205158356,0.46446961625050764
SINet_C10_s45,SINet,C10,45,2026,0.33283230822115667,0.40462756497932256,0.5363389695341095,0.3745234959331619,0.4482819886095447
SINet_CINV_s42,SINet,CINV,42,2026,0.342887881794713,0.4178766889117687,0.5494965689204225,0.3879785658975399,0.4626840759549347
SINet_CINV_s43,SINet,CINV,43,2026,0.33788040076408915,0.41180613529898363,0.5373526147439385,0.3847339178044633,0.4554262724294665
SINet_CINV_s45,SINet,CINV,45,2026,0.33495818406115097,0.4011337195297883,0.5443224514725522,0.3654964922084253,0.4524809874368196
SINet_CSHUF_s42,SINet,CSHUF,42,2026,0.3397660126232697,0.4132398945727619,0.546077698182984,0.3806861450014747,0.4563880925820579
SINet_CSHUF_s43,SINet,CSHUF,43,2026,0.3362969174095684,0.40866602238893207,0.5396138957712706,0.37983777341327046,0.45488470952770704
SINet_CSHUF_s45,SINet,CSHUF,45,2026,0.32949164075732723,0.4003161370500939,0.5318646516246252,0.36908938556985443,0.44898036907295164
SINetv2_A0_s42,SINetv2,A0,42,2026,0.32094254334983247,0.41067656155496063,0.47203115283283686,0.43861682938837304,0.43091320584959847
SINetv2_A0_s43,SINetv2,A0,43,2026,0.3089890155281258,0.40233813978246463,0.4502811531633879,0.4482240784538654,0.41425080974776896
SINetv2_A0_s45,SINetv2,A0,45,2026,0.3320458766604211,0.4243872478592959,0.48218105050199933,0.45629965281004775,0.4424786477731624
SINetv2_A2_s42,SINetv2,A2,42,2026,0.324934112931734,0.4156762554529628,0.47190702402464213,0.4493361527792633,0.43209485053054375
SINetv2_A2_s43,SINetv2,A2,43,2026,0.32131977328377187,0.41510000854035567,0.4672455246829402,0.4487497321592374,0.4315795732320695
SINetv2_A2_s45,SINetv2,A2,45,2026,0.32786577947512735,0.4172965885301357,0.4730360663341607,0.45109082613745205,0.4356619838976855
SINetv2_B_s42,SINetv2,B,42,2026,0.32669898722157914,0.41756596090208864,0.4690560102350534,0.4610356294544302,0.4408906188908215
SINetv2_B_s43,SINetv2,B,43,2026,0.31908641208001237,0.4125031213964611,0.4714795891670538,0.4403165035221161,0.4287361336011879
SINetv2_B_s45,SINetv2,B,45,2026,0.32904615522362624,0.4230658299998746,0.4832953536967719,0.45194582876257433,0.44143829899261944
SINetv2_C10_s42,SINetv2,C10,42,2026,0.32316269151940036,0.4183655943715709,0.4642236876554185,0.4570925988844471,0.4347687931005829
SINetv2_C10_s43,SINetv2,C10,43,2026,0.3261044858671523,0.4196669223868586,0.46446810935760674,0.4662194474647432,0.436744678889407
SINetv2_C10_s45,SINetv2,C10,45,2026,0.3286023278229665,0.4227787167286135,0.47466358707551876,0.45347767465813354,0.4385328232873478
SINetv2_CINV_s42,SINetv2,CINV,42,2026,0.3259223750381619,0.4201413648805526,0.4469099489688602,0.4907798316748339,0.43377978499563374
SINetv2_CINV_s43,SINetv2,CINV,43,2026,0.3271952934793487,0.4229030278685855,0.4737964452327662,0.4605518408755247,0.4390190431123747
SINetv2_CINV_s45,SINetv2,CINV,45,2026,0.3292676797095132,0.42516883434135916,0.47225343916996537,0.4630324570558031,0.44018638535911764
SINetv2_CSHUF_s42,SINetv2,CSHUF,42,2026,0.32678596724145115,0.41884779145454004,0.4618852537792534,0.467701562942912,0.4440874287316755
SINetv2_CSHUF_s43,SINetv2,CSHUF,43,2026,0.3249174053761777,0.42094177340974676,0.4614535243083812,0.47365080040780244,0.43247295100088146
SINetv2_CSHUF_s45,SINetv2,CSHUF,45,2026,0.32677143989540947,0.4217671861375966,0.47181558772212484,0.45552287538085207,0.4374162218938891
