arch,name,es_whole,es_boundary,ent_whole,ent_boundary,ens_a0_whole,ens_a0_boundary,ens_cshuf_whole,ens_cshuf_boundary,ent_eps12_whole,ent_eps12_boundary,es_band1,ent_band1,ens_a0_band1,ens_cshuf_band1,ens_a0_sd_whole,ens_a0_sd_boundary,ens_cshuf_sd_whole,ens_cshuf_sd_boundary,ens_a0_ownband,ens_cshuf_ownband,es_scalar,band_frac,band1_frac,band_empty,band1_empty
SINet-v2/S2C,COD10K-CAM-1-Aquatic-1-BatFish-1.jpg,0.03024014443187129,0.8952406630023125,0.016159058053266742,0.4878653727319009,0.0011835523738339643,0.03564414107139972,0.0017707502690203197,0.05316366883335842,0.016151446971891876,0.4878653727319009,1.0462567252439001,0.7432062879804141,0.04837809525235554,0.06580239912867691,0.00438740816216433,0.1260838016803202,0.0060458180745031976,0.16765985270737196,0.04100139042037438,0.053918125058341496,0.030240140855312347,0.027771500516528925,0.013922068698347107,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-1-BatFish-3.jpg,0.036153296439891555,0.5977122054087238,0.04538042678589192,0.6742633202848639,0.010037299187110393,0.044488630093340704,0.003289472586980489,0.03329284611143433,0.04537626254958557,0.6742633202848639,0.6664927575572266,0.8680477263870551,0.05093524599019242,0.04216497983486449,0.03065798289551036,0.16459298888023008,0.014044805105400371,0.15028220880050608,0.061237962237753706,0.035368114756519874,0.036153294146060944,0.03129035382231405,0.015673424586776858,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-1-BatFish-7.jpg,0.01428300361813659,0.7738999323081182,0.00781949025123207,0.42345893895657066,0.0025952122785724754,0.027500437850926623,0.000606559917735579,0.03447217295313745,0.007812907890963724,0.42345893895657066,0.9747461220813971,0.69774233401181,0.04065201630077087,0.052457969605523846,0.006587530342503111,0.10545624095087654,0.0024931636979202802,0.13491439985758918,0.028240126196373245,0.03507677230649439,0.01428300142288208,0.017037383780991736,0.008522727272727272,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-1-BatFish-8.jpg,0.0045061604442128735,1.31867975984733,0.0016908195785231268,0.4903216412038174,0.020030820788694174,0.0166796353031512,0.001203014856948366,0.0432006646115733,0.0016773221442233676,0.4903216412038174,1.5635067081159872,0.7503760846272164,0.015509567950299317,0.032003621257354606,0.0497659653302069,0.07215686947628834,0.003163356310881682,0.14566787652526278,0.020782256772349315,0.06729093015229742,0.0045061600394546986,0.0029619705578512396,0.0014850206611570248,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-1-BatFish-9.jpg,0.03590577119676714,0.6645204213437337,0.04132671154717491,0.7725133920345655,0.002931742842552586,0.032590247642633706,0.0038163875563318674,0.06129938778695922,0.041323899132997055,0.7725133920345655,0.7215792386281875,0.9207376946390123,0.03784730141360929,0.06635107052355255,0.014694716407953994,0.14837310674699525,0.01289045862069486,0.19886240167278113,0.037401881642216535,0.06927422238756101,0.03590577095746994,0.024979016012396695,0.012509684917355372,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-415.jpg,0.061521025261512596,0.7275242036338059,0.06886604296902463,0.748775254785654,0.02708071912350003,0.04769839941891293,0.006286853644043794,0.056161213096823495,0.06886430110275171,0.748775254785654,0.7938073192614402,0.9019123205077988,0.052041410373233274,0.05814512732680264,0.0810723055589499,0.18472695792792543,0.02183820113273824,0.19084556144765577,0.07873416168398559,0.0747386119338784,0.0615210197865963,0.03806172520661157,0.019224560950413222,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-417.jpg,0.05521661010949766,0.767053101536875,0.05458139777614173,0.783605530122404,0.002510374142664689,0.029640089415372165,0.0009436283275692345,0.018334688840441385,0.05457925636292421,0.783605530122404,0.830676705831675,0.9197245474984741,0.03518834085427925,0.02097319515631422,0.007774942723688688,0.1008896248526283,0.004050758350218775,0.07218519429866525,0.06624072365513607,0.040318791607102264,0.05521661043167114,0.031814953512396695,0.015963972107438017,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-418.jpg,0.013821980140878447,1.1279908982939197,0.007607627701547178,0.6278517646189067,0.020987507923079102,0.06499699134222661,0.008628487803582836,0.013749460259912529,0.007599466012437665,0.6278517646189067,1.2493933115993534,0.8406456144919707,0.059595652842593404,0.016455470150719666,0.04913966989036725,0.1696306058696934,0.026138443116980933,0.07880923966439572,0.1408362582473253,0.09752872299609422,0.0138219790533185,0.008926265495867768,0.004479274276859504,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-420.jpg,0.055957184924612456,0.974889325450954,0.05808747265516545,0.8585352885603923,0.006164886500375368,0.061026059225109355,0.006462508947479404,0.08025992532728081,0.058086298479570087,0.8585352885603923,1.0379347764301596,0.9526402466098663,0.06752478673787496,0.08386250911042904,0.025054309023983885,0.21129453682962138,0.023468871203421143,0.2607477302591669,0.07373898049473178,0.10476430437642753,0.05595718324184418,0.015447443181818182,0.00782057076446281,0,0
SINet-v2/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-421.jpg,0.034263312257941686,0.6778360544624177,0.024639400198987343,0.48141735132624164,0.004511776777865491,0.054664089001483486,0.0019753014271421815,0.028957658366141836,0.024631875555344157,0.48141735132624164,0.8373870568675181,0.7193873034367352,0.06538941954569828,0.035181439335191744,0.012764369003994108,0.1682794424268849,0.0069986478076607475,0.11361326674577037,0.05426996610855325,0.03390648075968618,0.03426331281661987,0.04030539772727273,0.02033832644628099,0,0
