arch,name,es_whole,es_boundary,ent_whole,ent_boundary,ens_a0_whole,ens_a0_boundary,ens_cshuf_whole,ens_cshuf_boundary,ent_eps12_whole,ent_eps12_boundary,es_band1,ent_band1,ens_a0_band1,ens_cshuf_band1,ens_a0_sd_whole,ens_a0_sd_boundary,ens_cshuf_sd_whole,ens_cshuf_sd_boundary,ens_a0_ownband,ens_cshuf_ownband,es_scalar,band_frac,band1_frac,band_empty,band1_empty
SINet/S2C,COD10K-CAM-1-Aquatic-1-BatFish-1.jpg,0.02495604513372674,0.47267868285885517,0.04848448960499662,0.761639944752259,0.0010267906171760653,0.029109030916643772,0.0004832013058856721,0.01325938363745324,0.04848375127869123,0.761639944752259,0.5200914201913743,0.9177655228526183,0.035655340048353655,0.015990634522824385,0.007778174155625157,0.15776133411978047,0.004273308734433903,0.08764442779086486,0.0313528095833938,0.015419365425747124,0.02495604380965233,0.025899083161157025,0.012969718491735538,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-1-BatFish-3.jpg,0.04538085963650171,0.40722991430258637,0.11133621400185419,0.8622037859184606,0.011976891375281497,0.04139215401400925,0.003083356157712705,0.025592887007671587,0.11133620413442985,0.8622037859184606,0.4137824582561543,0.9560693317527322,0.04257418458512326,0.02857801240196341,0.0471729791531911,0.1757783154109874,0.016787790164473695,0.13244826111178443,0.049747147434165556,0.02593015105453596,0.045380860567092896,0.0343411027892562,0.017206869834710745,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-1-BatFish-7.jpg,0.020304466919580266,0.3676901831652286,0.05776901122677411,0.8595894965450728,0.0021896356088838796,0.03494769255558401,0.004434886941407694,0.039112614009376774,0.05776901122677411,0.8595894965450728,0.3762474073592153,0.9565810161787791,0.035741725644339965,0.036293937362472974,0.011460044862755705,0.16410690973360992,0.014627206424642741,0.16808095060491554,0.048048165104846295,0.08018266208278275,0.020304463803768158,0.016859826962809916,0.008442019628099174,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-1-BatFish-8.jpg,0.009832381620272895,0.3600253926777335,0.03760996545883952,0.9200194561508341,0.0005587449417379658,0.0529420338686156,7.307267315868417e-05,0.012757813775754035,0.03760996545883952,0.9200194561508341,0.42064013047368115,0.9769640593785472,0.054030702406147345,0.014931808927970965,0.003747816707372002,0.20885387713886513,0.0019482830884481144,0.10325377185470676,0.13245858753332848,0.012100403838907708,0.009832380339503288,0.0030507489669421486,0.0015415160123966943,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-1-BatFish-9.jpg,0.03279178854040248,0.4085715208457454,0.0779336578861342,0.8976996838198086,0.001587941348324671,0.011997236203249042,0.0019295925599056825,0.02512962997798199,0.0779336578861342,0.8976996838198086,0.45755208853517176,0.9705483458759727,0.012459557757074835,0.02674212326637107,0.012428797929060362,0.08695533382123019,0.011798789080030079,0.12566355677306287,0.01862210458790064,0.02814663259711291,0.03279178589582443,0.02713391012396694,0.013591167355371902,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-415.jpg,0.018030842511167523,0.31887023290389865,0.057091517917083175,0.8698934038131545,0.0006027470104611306,0.01763995626039701,0.001353605478104989,0.014366430301783896,0.05709149857679921,0.8698934038131545,0.32853389730735216,0.9589554863005476,0.019762564980672265,0.015139353005495789,0.006179785436806067,0.11848023439871795,0.012515637340788012,0.10245261195532819,0.018471903519913235,0.015628371734095356,0.018030840903520584,0.016383651859504134,0.008264462809917356,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-417.jpg,0.029644639924774972,0.3614185618052687,0.08681894561550144,0.8989192797614215,0.0007953157481488564,0.01745905867663594,0.0006072976484776167,0.013144026820866931,0.08681894561550144,0.8989192797614215,0.3472405053516901,0.970477652195716,0.01862641904471031,0.014450570540039872,0.007103569161677178,0.12032415954934807,0.007030494379916532,0.10235176575979799,0.02407719066162673,0.01750402628656742,0.029644638299942017,0.020346397210743803,0.010257941632231406,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-418.jpg,0.021368974023007543,0.3015110920448773,0.07547273897603517,0.9306175389244606,0.0014235660505641271,0.00449909012949167,0.0002501785529431781,1.3989877316490603e-06,0.07547273897603517,0.9306175389244606,0.3065460085716783,0.9805049230046576,0.0043277010131209616,1.3976768703174135e-06,0.011518034143477445,0.05561832696194576,0.0029260825744097697,0.0010886445343126145,,0.02459186805117637,0.021368972957134247,0.01580255681818182,0.00790934917355372,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-420.jpg,0.028404307206974108,0.2527081364814234,0.10641360463196502,0.9910489415337492,0.0036660911579011915,0.017021322215063073,0.005639746193025715,0.10092904287579228,0.10641360463196502,0.9910489415337492,0.2541294487749958,0.9974954371718772,0.017194517302102925,0.10207772330213989,0.017104044823573163,0.1229915332047562,0.030373587912169812,0.314003637034811,0.1297971257482485,0.11271605271161592,0.02840430662035942,0.004342071280991735,0.0021871771694214875,0,0
SINet/S2C,COD10K-CAM-1-Aquatic-10-LeafySeaDragon-421.jpg,0.03166630065728462,0.39433376379435675,0.07821430811831949,0.8150492112541301,0.0011977600317299043,0.01557135289003265,0.0012426523877644858,0.016003250013475676,0.07821430811831949,0.8150492112541301,0.41692611226727716,0.9391933628279159,0.018292407166065564,0.018091168302127404,0.009214813983899249,0.10135186204689088,0.007682485791796039,0.10038931614509483,0.019203094648998408,0.019363186798656104,0.03166630119085312,0.03619737861570248,0.018191503099173553,0,0
