arch,clusters_used,column,ordering_unpartialled,rho_mae,rho_one_minus_iou,rho_one_minus_sa,signal,z_obj_ordering,z_obj_rho_mae,z_obj_rho_one_minus_iou,z_obj_rho_one_minus_sa,z_obj_signal_vs_area,z_obj_sigz_mae,z_obj_sigz_one_minus_iou,z_obj_sigz_one_minus_sa,z_unc_ordering,z_unc_rho_mae,z_unc_rho_one_minus_iou,z_unc_rho_one_minus_sa,z_unc_signal_vs_area,z_unc_sigz_mae,z_unc_sigz_one_minus_iou,z_unc_sigz_one_minus_sa
SINet/S2C,50,es_whole,True,0.6284273709483793,0.26127250900360144,0.3432893157262905,ES,True,0.576126659693198,0.48623284502454506,0.49881497848881406,0.33138055222088836,0.37728691476590637,-0.44873949579831934,-0.3129411764705882,True,0.5518162713966828,0.3457202585372147,0.389719699222508,0.6678031212484994,0.3695078031212485,0.005906362545018007,0.08110444177671068
SINet/S2C,50,ent_whole,True,0.5892436974789916,0.35884753901560623,0.4267466986794718,entropy,False,0.5504957685604205,0.5479105731231213,0.5517253633836632,0.25531812725090036,0.37728691476590637,-0.44873949579831934,-0.3129411764705882,True,0.50595284490271,0.40461983544152275,0.442636444976807,0.47505402160864346,0.3695078031212485,0.005906362545018007,0.08110444177671068
SINet/S2C,50,ens_a0_whole,True,0.6027851140456183,0.14909963985594238,0.2698199279711885,ensemble A0,True,0.5410790069630704,0.370600853430647,0.4301188174992556,0.3571188475390156,0.37728691476590637,-0.44873949579831934,-0.3129411764705882,True,0.5602593539518199,0.15350697768815807,0.25827174381419865,0.27788715486194476,0.3695078031212485,0.005906362545018007,0.08110444177671068
SINet/S2C,50,ens_cshuf_whole,True,0.5211524609843937,0.33608643457382953,0.40062424969988,ensemble CSHUF,True,0.5001677229490723,0.4693583381583993,0.4856633171296264,0.17186074429771908,0.37728691476590637,-0.44873949579831934,-0.3129411764705882,True,0.48565508446515143,0.34310143739806037,0.39368198336841714,0.21863145258103242,0.3695078031212485,0.005906362545018007,0.08110444177671068
SINet-v2/S2C,50,es_whole,True,0.7069867947178872,0.45911164465786314,0.5628331332533013,ES,True,0.7061834603947666,0.5930381339757563,0.6272280792716481,0.1524609843937575,0.35145258103241295,-0.44028811524609845,-0.24763505402160865,False,0.4457061700751121,0.408810688488363,0.474381978877259,0.7787274909963986,0.6286194477791116,0.2727010804321729,0.3672989195678271
SINet-v2/S2C,50,ent_whole,True,0.7392557022809124,0.4069627851140456,0.540360144057623,entropy,True,0.7133751945616973,0.613834783607106,0.6546272526391081,0.27807923169267706,0.35145258103241295,-0.44028811524609845,-0.24763505402160865,True,0.5368891287271503,0.31466161308870405,0.4266117792879308,0.7047779111644658,0.6286194477791116,0.2727010804321729,0.3672989195678271
SINet-v2/S2C,50,ens_a0_whole,True,0.6191116446578632,0.45402160864345736,0.5483313325330132,ensemble A0,True,0.6245280381335516,0.5617045218669128,0.5969303261852211,0.1076110444177671,0.35145258103241295,-0.44028811524609845,-0.24763505402160865,False,0.43553112791999926,0.37951498176693577,0.4488184795246487,0.5269147659063625,0.6286194477791116,0.2727010804321729,0.3672989195678271
SINet-v2/S2C,50,ens_cshuf_whole,True,0.5576470588235294,0.33695078031212483,0.4488355342136855,ensemble CSHUF,True,0.5343641709690412,0.47647040512840094,0.5209106561474748,0.188859543817527,0.35145258103241295,-0.44028811524609845,-0.24763505402160865,True,0.44821184423389565,0.26361640515125057,0.36148360831778265,0.37248499399759905,0.6286194477791116,0.2727010804321729,0.3672989195678271
