stem,status,fg_frac,obj_mean,obj_max,bg_mean,bg_max,obj_interior_mean,interior_px,raw_shape,cand_shape,err
0004,OK,0.211375,6.675287469610356,165,74.03366619115549,251,5.202525297223943,22598,,,
0005,OK,0.2678370786516854,6.542108023072889,167,57.51674233220368,237,5.12287909020958,25559,,,
0006,OK,0.17136666666666667,11.76277313103806,169,58.41560065435724,215,8.702178801271614,17196,,,
0007,OK,0.156775,13.259891209978916,175,40.483731441127155,220,9.851162682649198,14349,,,
0008,OK,0.0499625468164794,12.30515992003998,128,90.47189150831822,251,7.211786372007366,3439,,,
0009,OK,0.07668539325842696,17.233414733414733,212,97.0949329006524,253,12.60592007328524,5822,,,
0010,OK,0.26655075187969923,12.177320968936215,182,61.09161231350137,252,9.329239865825231,23452,,,
0011,OK,0.10453180212014135,7.529902250767627,179,71.53483875422968,236,4.190687197666261,9027,,,
0012,OK,0.3889624183006536,5.838440911032228,93,32.227897296020465,162,4.90730321903483,43191,,,
0014,OK,0.1253,17.28431763766959,125,72.76486223848177,247,15.861168384879726,11155,,,
0015,OK,0.15674107142857144,13.734434634007405,228,62.169435473908976,253,8.605880143784537,12426,,,
0016,OK,0.07977611940298507,15.846546616775804,216,64.6810714189171,227,11.610565758919147,6316,,,
0020,OK,0.22710833333333333,10.642449149329126,199,117.40107317038107,255,9.307828175780697,23590,,,
0021,OK,0.17984166666666668,8.35900406221522,183,60.80536278564098,207,5.738814604077762,17575,,,
0024,OK,0.16936548223350253,16.09838153753934,206,60.60211242501095,252,14.91952272150292,22321,,,
0027,OK,0.05632,13.023200757575758,215,98.71625621679665,255,9.33562983754359,3919,,,
0029,OK,0.1272752808988764,11.216042570931117,223,90.40077819620129,204,7.968493661446682,10728,,,
0030,OK,0.21338541666666666,17.584601198709084,209,73.04632633693085,247,13.180589363428487,18076,,,
0031,OK,0.07905378486055777,8.65977909369619,150,61.12534022618056,226,4.836784050020645,5651,,,
0032,OK,0.20454241071428572,5.782070169694985,119,62.49145305141264,215,3.8255169588373548,15459,,,
0035,OK,0.15407366071428572,9.060775081492213,162,55.18883831387295,255,7.35399011299435,11328,,,
0038,OK,0.2371875,9.631281761716544,221,127.77666744698699,255,7.297567404316073,18211,,,
0040,OK,0.29845444059976933,5.4049183284381925,172,107.92783002323644,211,3.9124004049830523,22717,,,
0041,OK,0.234468954248366,5.165441304575072,111,57.4701515103005,188,3.8642640046114343,25444,,,
0042,OK,0.26829545454545456,7.965874024323834,203,75.31559174376382,250,5.601700060716454,29097,,,
0044,OK,0.16044007490636705,8.778523489932885,161,67.3395639324151,238,7.158463910172339,14487,,,
0045,OK,0.22092857142857142,6.922836512555232,124,71.9153815592433,227,5.200668515212519,26327,,,
0047,OK,0.36343589743589744,11.701293448097456,221,72.91063669808534,252,9.157119655868668,30376,,,
0048,OK,0.18918333333333334,8.4911902035063,254,73.22590392402722,254,6.224653691039804,19010,,,
0050,OK,0.34255494505494505,16.196874916459485,191,55.851117100552976,250,14.108779940719378,41610,,,
0051,OK,0.1400437062937063,17.189542891621414,224,35.6871961157022,217,10.549737396609743,10599,,,
0053,OK,0.27614232209737827,13.244145304941453,203,64.92591538607475,234,9.547642789873137,24068,,,
0054,OK,0.1716914498141264,14.701003211720977,202,66.1237648572433,227,11.847758887171562,11646,,,
0056,OK,0.08441947565543072,14.963952972493345,158,50.12709645749816,188,9.56046304541407,5615,,,
0057,OK,0.14819288389513108,17.42294812661907,198,66.79431259824344,240,12.225660751231167,11439,,,
0058,OK,0.14263319672131147,12.87381174724038,213,117.318861363066,240,8.661260597124954,10852,,,
0059,OK,0.22956666666666667,14.072769953051644,189,61.97458140440445,235,8.072450161174224,21302,,,
0060,OK,0.067125468164794,34.51146138466546,202,55.35814488796994,251,27.139515455304927,3990,,,
0061,OK,0.1391324200913242,14.21540312876053,225,85.17820329213741,249,9.310325873576756,8490,,,
0062,OK,0.11715613382899628,15.78470569570046,212,83.32379588886316,237,9.547189892539569,9709,,,
0063,OK,0.09715,13.120174987133298,186,78.46587042267387,230,7.078654770075498,7285,,,
0064,OK,0.09085820895522388,20.817385352498288,185,61.57407825432656,228,16.351409978308027,6915,,,
0068,OK,0.28765833333333335,7.199204302944272,222,52.209590435301415,253,5.1667040179286055,31235,,,
0070,OK,0.25662593984962406,10.501934932552036,167,89.32549044398087,215,8.48397679655229,22353,,,
0072,OK,0.063,8.674206349206349,101,36.809474682793784,169,6.382057231245167,5603,,,
0073,OK,0.08320224719101124,20.082864430940056,178,61.81153529287606,253,17.25527395607048,6905,,,
0074,OK,0.3494,8.73455288430961,202,35.26913191242272,255,7.367839925353792,38582,,,
0076,OK,0.17763274336283186,9.60526425042554,173,49.80726462385552,202,7.712197580645161,13888,,,
0080,OK,0.42020348837209304,7.031284830316308,184,46.12156207347985,211,5.478345735205121,39107,,,
0081,OK,0.24622340425531916,7.485619644271621,188,91.79903558911391,230,5.12641029579941,19529,,,
0083,OK,0.119525,11.081828534244346,145,34.438103170321575,193,8.264010481805729,11194,,,
0084,OK,0.27513333333333334,9.614288021969147,178,62.73275544927803,248,7.727051476328236,29036,,,
0085,OK,0.30468984962406015,8.121307463730117,141,80.11056892986036,248,6.590144482445732,28654,,,
0086,OK,0.31713908450704226,10.820939850667555,161,81.84445189262587,221,9.413938202592297,32558,,,
0087,OK,0.11893258426966292,7.439615808534089,113,74.0348679036749,228,5.641437604852239,10332,,,
0088,OK,0.024571651090342678,29.403592181722136,228,77.01026787496507,255,18.515151515151516,1573,,,
0089,OK,0.22539166666666666,9.993887184037662,184,48.311971282978135,238,7.821050022598376,22863,,,
0090,OK,0.05551498127340824,15.078428065441052,207,56.932630124945064,255,10.940389294403893,4384,,,
0091,OK,0.16570833333333335,7.0663146425278685,171,119.24955967304267,247,4.900807595092781,16221,,,
0094,OK,0.2454326923076923,10.752164544564152,176,75.94511203143252,217,8.598967899938774,22866,,,
0095,OK,0.1454811320754717,12.1413872857359,143,39.69039549270066,207,9.430597379867706,12951,,,
0096,OK,0.0775776397515528,18.208433413397383,211,93.56006048975378,247,9.820021796668224,6423,,,
0097,OK,0.15092911877394635,7.273338833534302,124,60.58409575488194,218,4.873749684794486,11897,,,
0098,OK,0.1649342105263158,9.1500180447129,137,71.62521899959857,237,6.769997115533959,15023,,,
0099,OK,0.13325187969924812,10.241077726054451,141,34.808585080927905,228,7.187138772282046,10958,,,
0100,OK,0.11745300751879699,8.483582726521032,145,48.4182578476371,221,5.931828866948754,9926,,,
0101,OK,0.19018796992481202,8.018860776174474,131,46.0092536712935,212,6.254571279958388,16662,,,
0102,OK,0.1419423076923077,10.315652802239985,177,53.32432745392471,228,6.659303022519051,11679,,,
0103,OK,0.21657894736842107,9.912717699473472,162,48.587548186893166,231,7.960120836001248,20303,,,
0104,OK,0.27845864661654135,9.209542774852617,153,39.33487903575956,237,7.064761756259827,25653,,,
0105,OK,0.11925961538461538,12.679513021043295,169,63.89486555236525,219,7.739110154287765,9290,,,
0107,OK,0.09616666666666666,14.405603697284807,247,79.76524986170017,255,10.368413501201621,9293,,,
0108,OK,0.24706666666666666,8.789665407447382,153,55.42528850126911,236,6.923424290241055,25983,,,
0109,OK,0.18543071161048688,11.27886622231199,211,97.42357503026959,255,8.15745031407682,16185,,,
0110,OK,0.2973372093023256,8.02159998957152,155,98.82714149387435,222,5.671645495013417,21491,,,
0111,OK,0.206625,7.612556294951939,131,53.93199586856433,225,5.603889311525295,21032,,,
