stem,status,fg_frac,obj_mean,obj_max,bg_mean,bg_max,obj_interior_mean,interior_px,raw_shape,cand_shape,err
0004,OK,0.21705,3.101218357265351,54,83.66732656406326,255,2.7244924294562973,23248,,,
0005,OK,0.27476591760299623,4.041563014710058,78,69.06748004217502,227,3.6952536907980758,26259,,,
0006,OK,0.17863333333333334,5.904071033152952,68,54.206021806474304,226,5.282252673796791,17952,,,
0007,OK,0.16654166666666667,6.2115253106496535,59,38.20190304787615,219,5.704515620897873,15236,,,
0008,OK,0.05500936329588015,4.184340425531915,64,63.123573610767075,241,2.8567420655795197,3802,,,
0009,OK,0.08243445692883895,9.117219445706498,91,53.95681796535913,249,8.100343857455455,6398,,,
0010,OK,0.278937969924812,6.155485921583162,78,83.13947941241642,254,5.5730833401712205,24374,,,
0011,OK,0.11064487632508833,3.8669328010645376,53,77.40021521397236,253,2.8603383001632454,9597,,,
0012,OK,0.39772875816993464,3.511612779535215,42,46.311389348598716,179,3.2638621595308717,44167,,,
0014,OK,0.13359166666666666,7.6862537167571165,74,80.42800898985915,214,7.625365772092635,11961,,,
0015,OK,0.16752678571428573,6.7315638934783,70,57.72349675200475,232,5.756229308241854,13391,,,
0016,OK,0.08513992537313433,6.868485446112268,79,63.78121059482902,239,6.379890453834116,6816,,,
0020,OK,0.23425,5.290193288272263,69,100.27847063517974,255,5.070079719954602,24377,,,
0021,OK,0.18856666666666666,4.0312592068823285,43,93.21236426625039,232,3.507151252147184,18435,,,
0024,OK,0.1761040609137056,7.676479066080565,100,77.40077989823843,252,7.412831061969658,23334,,,
0027,OK,0.06052,6.745483586693104,92,120.37929138104766,255,5.743702673466234,4314,,,
0029,OK,0.13482209737827716,5.841979767113457,74,52.64607525892577,232,5.300426784400294,11325,,,
0030,OK,0.22765625,7.036909936704034,74,66.52504851604589,221,6.730581561751064,19333,,,
0031,OK,0.08497011952191236,3.9422889071230416,42,58.11321555693433,220,2.8864600326264274,6130,,,
0032,OK,0.21214285714285713,1.9451985129068463,38,75.84485021909943,204,1.474646923411933,16073,,,
0035,OK,0.16112723214285715,4.699591327838194,50,61.04472058503963,255,4.186321616229734,11863,,,
0038,OK,0.2456361607142857,4.529026004513305,56,81.85121293268827,255,4.188804771736637,18889,,,
0040,OK,0.30656286043829295,2.046690996651492,50,104.70929736143222,248,1.54476475193964,23415,,,
0041,OK,0.2409967320261438,3.0200239564264244,51,45.73698449261946,163,2.7253342510100818,26153,,,
0042,OK,0.276112012987013,3.1765881764999855,49,92.58640473333857,255,2.814865374797452,30034,,,
0044,OK,0.16646067415730337,4.940019499756253,56,84.77480472991695,234,4.549477089426571,15044,,,
0045,OK,0.22837857142857143,3.1288274481593845,43,76.58608187459308,255,2.747560752786406,27365,,,
0047,OK,0.37494358974358977,5.229249300179628,52,65.60235520623095,246,4.923730519446122,31463,,,
0048,OK,0.196725,4.4359017805453185,59,73.03774478783038,245,3.9834506982792104,19739,,,
0050,OK,0.3519574175824176,7.02147851822942,63,58.408824828219664,255,6.823163391335616,42642,,,
0051,OK,0.15513111888111888,6.305215905035593,52,47.594797885218256,232,5.741569833675097,11704,,,
0053,OK,0.2878089887640449,6.036946667534214,51,75.67838517700473,241,5.857518672747703,25215,,,
0054,OK,0.18657992565055762,7.297203958291824,77,72.83661243392288,255,7.408073980928429,12724,,,
0056,OK,0.09237827715355805,6.748226231502128,50,38.046523063802866,224,6.160899284417388,6242,,,
0057,OK,0.1590262172284644,7.888699167844246,77,45.88974124877527,232,7.161188849115956,12292,,,
0058,OK,0.1507889344262295,5.777422934927861,64,47.194442768722176,233,5.115413752913753,11440,,,
0059,OK,0.2454,5.576077605723082,56,45.458013075360014,245,4.853130075849017,22369,,,
0060,OK,0.07630149812734083,10.701803902319304,58,77.53356107219727,240,10.967463768115943,4600,,,
0061,OK,0.1502283105022831,7.184219858156029,81,52.36871305749597,227,6.518554652213189,9225,,,
0062,OK,0.12358736059479554,6.5868551661904045,81,38.67285600164012,195,5.931708580121048,10299,,,
0063,OK,0.10755,5.611885944521927,62,89.33070013259379,240,4.301543824701195,8032,,,
0064,OK,0.09791044776119404,10.178734756097562,77,97.95309742444297,232,10.119705830232146,7524,,,
0068,OK,0.2940333333333333,3.365595359558629,64,44.08838944237216,225,2.9805227981273523,31969,,,
0070,OK,0.2679887218045113,6.389188936428889,62,105.83541757611552,210,5.996452233383201,23395,,,
0072,OK,0.067025,4.2603506154419994,44,102.87754822536033,206,3.7413266722175966,6005,,,
0073,OK,0.08774344569288389,8.097285953117774,66,35.391491924033566,202,7.796170251383973,7346,,,
0074,OK,0.3561916666666667,5.3688557190651105,68,37.39910083660165,251,5.106815025573282,39364,,,
0076,OK,0.1834845132743363,5.483812624344366,67,47.32693879578575,226,5.267501449275362,14375,,,
0080,OK,0.4299127906976744,3.438952374512588,46,54.06502019841472,231,3.1482876456062456,40091,,,
0081,OK,0.25488297872340426,3.8474477231937896,57,69.27693303446077,229,3.294811088093124,20274,,,
0083,OK,0.12578333333333333,5.255598250960647,44,48.87721706416538,242,4.713083354304728,11921,,,
0084,OK,0.2824083333333333,5.593053793266251,75,81.35290497149029,252,5.269760082015623,29913,,,
0085,OK,0.3130263157894737,4.519185732300486,68,91.18338486515081,238,4.143436053730669,29530,,,
0086,OK,0.32380281690140844,5.78565861968972,54,67.43034871207388,228,5.643196574527047,33319,,,
0087,OK,0.12365168539325842,4.943182391842092,53,72.52151847340642,238,4.4862099781208595,10817,,,
0088,OK,0.028278816199376947,8.977967502065546,89,88.22271557838886,255,7.91991341991342,1848,,,
0089,OK,0.23279166666666667,5.033530218960682,56,89.54042252756204,253,4.755278351384382,23729,,,
0090,OK,0.05898876404494382,7.206084656084656,50,91.90742951907131,255,6.822983127747058,4702,,,
0091,OK,0.1725,3.3038969404186798,53,96.97481705270225,230,2.834882899847005,16994,,,
0094,OK,0.2517403846153846,4.568682123168201,41,56.190827432889144,225,4.307461966394187,23488,,,
0095,OK,0.15116037735849056,6.232540722711103,48,45.579055388228845,205,5.8741999015263415,13540,,,
0096,OK,0.08407608695652175,7.268969126111983,82,104.042578260759,247,5.772891166144795,7026,,,
0097,OK,0.15980842911877394,3.1159993606649086,38,90.59958274431119,225,2.5429115178059334,12786,,,
0098,OK,0.17067669172932332,4.420264317180616,68,39.622083711090966,229,4.024512629983132,15611,,,
0099,OK,0.1406109022556391,4.673306151549585,56,44.09782842477863,227,4.11714416423629,11658,,,
0100,OK,0.12332706766917294,4.638342732307067,52,56.23806613921111,212,3.9625414888572785,10545,,,
0101,OK,0.1981954887218045,4.655633535660091,48,36.85533492748187,223,4.186774058418067,17506,,,
0102,OK,0.14895192307692307,4.892173950465862,71,52.04053448425207,236,4.126177024482109,12390,,,
0103,OK,0.22287593984962406,5.21174552303843,91,44.434458876553066,193,4.902747270238437,20942,,,
0104,OK,0.2868327067669173,4.899614447830313,99,43.18796536682437,209,4.572399582877892,26531,,,
0105,OK,0.1263173076923077,5.106772220953541,47,100.54494495375822,247,4.458024691358025,9990,,,
0107,OK,0.10071666666666666,6.440675161343703,60,66.4824026539652,255,5.949437247101227,9803,,,
0108,OK,0.25374166666666664,4.330366623972325,44,52.431028129222454,213,4.2047907475261095,26746,,,
0109,OK,0.19336142322097377,5.89621164431101,60,88.61490750521384,255,5.3974676089517075,16980,,,
0110,OK,0.30883720930232555,3.8872113453815262,47,84.47990690892777,233,3.3226429962680464,22419,,,
0111,OK,0.21353333333333332,3.7362368612758874,37,54.22127094459043,205,3.40239262960077,21817,,,
0112,OK,0.0877247191011236,6.834418472266695,64,63.753918157465286,185,5.545646215475437,6324,,,
0113,OK,0.13706766917293234,6.009873834339001,79,98.03644608056693,255,5.398691732629727,12128,,,
0114,OK,0.32386704119850185,5.127333352607284,65,62.864932858798056,250,4.85420864478388,30770,,,
0115,OK,0.22700258397932815,3.9409409979131094,41,61.3897431611789,250,3.7727984066012237,32802,,,
