fit_on,embedder,primary,split,k,error,run,clusters,min_imgs,rho,p,perm_p
split,L518,0,val,50,MAE,repro,10,8,0.7818181818181817,0.0075470077810678785,0.010997800439912017
split,L518,0,val,50,1-Sa,repro,10,8,0.6363636363636362,0.04791172612997544,0.05578884223155369
split,L518,0,val,50,1-IoU_soft,repro,10,8,0.43030303030303024,0.21449233253280775,0.21755648870225955
split,L518,0,val,50,1-IoU_hard,repro,10,8,0.4666666666666666,0.17393859716506654,0.17616476704659068
split,L518,0,val,100,MAE,repro,2,8,nan,nan,nan
split,L518,0,val,100,1-Sa,repro,2,8,nan,nan,nan
split,L518,0,val,100,1-IoU_soft,repro,2,8,nan,nan,nan
split,L518,0,val,100,1-IoU_hard,repro,2,8,nan,nan,nan
tgt,L224,0,test,15,MAE,repro,15,52,0.8785714285714284,1.631528028654429e-05,nan
tgt,L224,0,test,15,1-Sa,repro,15,52,0.6392857142857141,0.010288446619594209,nan
tgt,L224,0,test,15,1-IoU_soft,repro,15,52,0.5607142857142856,0.02967649609447474,nan
tgt,L224,0,test,15,1-IoU_hard,repro,15,52,0.5821428571428571,0.02279368712641428,nan
tgt,L224,0,test,20,MAE,repro,20,24,0.8812030075187969,2.8860848761547273e-07,nan
tgt,L224,0,test,20,1-Sa,repro,20,24,0.6090225563909774,0.004370507553662533,nan
tgt,L224,0,test,20,1-IoU_soft,repro,20,24,0.4240601503759398,0.06240648623134542,nan
tgt,L224,0,test,20,1-IoU_hard,repro,20,24,0.5052631578947367,0.023059229474174218,nan
tgt,L224,0,test,50,MAE,repro,49,8,0.8643877551020408,1.2318199789421637e-15,nan
tgt,L224,0,test,50,1-Sa,repro,49,8,0.4779591836734693,0.000514284372441169,nan
tgt,L224,0,test,50,1-IoU_soft,repro,49,8,0.27122448979591834,0.05942127874468162,nan
tgt,L224,0,test,50,1-IoU_hard,repro,49,8,0.353469387755102,0.012723501994959488,nan
tgt,L224,0,test,100,MAE,repro,69,8,0.829192546583851,1.3819104574653915e-18,nan
tgt,L224,0,test,100,1-Sa,repro,69,8,0.34877603215199127,0.0033134961433907407,nan
tgt,L224,0,test,100,1-IoU_soft,repro,69,8,0.15736207526488857,0.19658931995607923,nan
tgt,L224,0,test,100,1-IoU_hard,repro,69,8,0.21468761417610524,0.0764828086943613,nan
tgt,L224,0,val,15,MAE,repro,8,8,0.9047619047619048,0.002008275505429469,0.003199360127974405
tgt,L224,0,val,15,1-Sa,repro,8,8,0.8333333333333335,0.010175540123456752,0.014397120575884824
tgt,L224,0,val,15,1-IoU_soft,repro,8,8,0.8571428571428572,0.0065300172547152905,0.009398120375924815
tgt,L224,0,val,15,1-IoU_hard,repro,8,8,0.8571428571428572,0.0065300172547152905,0.009398120375924815
tgt,L224,0,val,20,MAE,repro,7,8,0.9285714285714288,0.0025194724037946887,0.007398520295940812
tgt,L224,0,val,20,1-Sa,repro,7,8,0.9285714285714288,0.0025194724037946887,0.007598480303939212
tgt,L224,0,val,20,1-IoU_soft,repro,7,8,0.8571428571428573,0.013697326615325618,0.02399520095980804
tgt,L224,0,val,20,1-IoU_hard,repro,7,8,0.8571428571428573,0.013697326615325618,0.02399520095980804
