comparison,n_a,n_b,accuracy,auc,cohens_d_probe_axis
real target vs LAKE-RED output,4033,4447,0.9827044025157232,0.9988724645941492,4.668519020080566
"real vs real, RANDOM split (true null)",2016,2017,0.4809917355371901,0.4781476675090499,0.6599735021591187
real target vs raw HKU-IS (two datasets),4033,4447,0.9367138364779874,0.983114228009962,3.2750802040100098
real vs same images JPEG-75,4033,4033,0.4388429752066116,0.41171982788060923,0.326598584651947
real vs same images darkened 20,4033,4033,0.39173553719008264,0.34691892630284815,0.1947663575410843
"real vs real, SORTED-filename split (the R-c bug)",2016,2017,0.7991735537190082,0.8888272658971381,2.01149582862854
